Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
106304,1,LightBlue,DarkRed,0,1,1.5,1,1693.87
106304,2,DarkMagenta,LightBlue,1,0,7,0,4160.48
106304,3,DarkCyan,LightMagenta,1,0,1.5,1,4163.10
106304,4,LightGreen,LightCyan,0,0,7,1,1470.13
106304,5,LightRed,DarkMagenta,0,1,3,0,5536.74
106304,6,LightMagenta,LightBlue,0,0,7,0,1402.85
106304,7,LightCyan,DarkCyan,0,1,1.5,1,4966.05
106304,8,LightMagenta,LightGreen,0,0,1.5,1,1735.81
106304,9,LightRed,LightBlue,0,0,1.5,0,6132.73
106304,10,DarkRed,DarkYellow,1,1,1.5,1,3864.61
106304,11,LightGreen,DarkMagenta,0,1,1.5,1,1065.29
106304,12,DarkCyan,LightMagenta,1,0,7,1,1302.04
106304,13,DarkRed,DarkCyan,1,1,1.5,1,1365.59
106304,14,LightCyan,LightRed,0,0,7,1,1135.62
106304,15,DarkCyan,DarkRed,1,1,7,1,930.52
106304,16,LightYellow,DarkYellow,0,1,1.5,1,1300.78
106304,17,DarkGreen,DarkMagenta,1,1,3,0,13595.78
106304,18,LightBlue,DarkGreen,0,1,7,1,3410.97
106304,19,DarkMagenta,LightCyan,1,0,7,1,1166.72
106304,20,LightBlue,LightGreen,0,0,3,1,1233.33
106304,21,LightMagenta,DarkRed,0,1,7,1,963.63
106304,22,LightMagenta,LightYellow,0,0,3,1,1500.17
106304,23,DarkGreen,DarkBlue,1,1,3,1,1367.93
106304,24,DarkYellow,LightBlue,1,0,1.5,0,12001.89
106304,25,LightCyan,LightGreen,0,0,1.5,0,1681.74
106304,26,DarkCyan,DarkMagenta,1,1,7,1,5699.78
106304,27,DarkGreen,LightYellow,1,0,1.5,0,4268.36
106304,28,LightCyan,LightMagenta,0,0,7,0,2066.41
106304,29,DarkBlue,LightYellow,1,0,3,0,1797.03
106304,30,DarkMagenta,LightYellow,1,0,3,1,9447.05
106304,31,DarkBlue,DarkRed,1,1,7,1,1896.16
106304,32,LightGreen,LightMagenta,0,0,7,1,1366.81
106304,33,DarkRed,LightCyan,1,0,3,1,1968.50
106304,34,LightYellow,DarkRed,0,1,3,1,1332.82
106304,35,LightRed,DarkYellow,0,1,7,0,13270.12
106304,36,LightCyan,DarkYellow,0,1,1.5,1,3935.68
106304,37,DarkRed,DarkGreen,1,1,7,0,3027.62
106304,38,DarkBlue,DarkMagenta,1,1,1.5,0,1532.55
106304,39,LightBlue,DarkYellow,0,1,7,0,1836.19
106304,40,LightGreen,DarkCyan,0,1,7,1,7961.03
106304,41,DarkYellow,LightCyan,1,0,7,1,1886.84
106304,42,LightGreen,DarkYellow,0,1,3,1,1485.89
106304,43,DarkCyan,DarkYellow,1,1,1.5,1,1503.34
106304,44,DarkBlue,LightGreen,1,0,3,1,2217.52
106304,45,LightGreen,DarkGreen,0,1,1.5,1,2002.13
106304,46,DarkGreen,LightMagenta,1,0,1.5,1,1816.68
106304,47,LightYellow,LightCyan,0,0,7,1,1976.58
106304,48,LightRed,LightGreen,0,0,1.5,1,1232.42
106304,49,DarkBlue,LightBlue,1,0,7,1,1671.03
106304,50,DarkBlue,DarkGreen,1,1,7,0,24638.25
106304,51,LightMagenta,DarkYellow,0,1,1.5,0,1566.67
106304,52,LightMagenta,LightCyan,0,0,1.5,1,5565.99
106304,53,DarkRed,DarkMagenta,1,1,1.5,1,1299.16
106304,54,LightRed,DarkRed,0,1,1.5,1,1564.37
106304,55,DarkYellow,DarkCyan,1,1,3,1,2135.82
106304,56,DarkMagenta,LightBlue,1,0,1.5,0,9396.68
106304,57,LightYellow,LightMagenta,0,0,7,0,1534.85
106304,58,DarkMagenta,DarkYellow,1,1,3,0,1638.40
106304,59,LightCyan,LightMagenta,0,0,3,0,1871.51
106304,60,LightCyan,DarkBlue,0,1,7,0,2137.66
106304,61,DarkBlue,LightRed,1,0,3,0,1765.40
106304,62,LightRed,DarkYellow,0,1,3,1,15267.87
106304,63,LightGreen,LightCyan,0,0,3,0,4536.39
106304,64,LightYellow,LightRed,0,0,7,0,1567.24
106304,65,DarkBlue,LightMagenta,1,0,7,1,5935.36
106304,66,LightRed,DarkGreen,0,1,3,1,1262.34
106304,67,LightRed,DarkRed,0,1,3,1,1530.93
106304,68,LightMagenta,DarkYellow,0,1,7,0,6800.50
106304,69,DarkRed,LightGreen,1,0,3,1,3031.98
106304,70,DarkYellow,DarkGreen,1,1,3,1,1467.98
106304,71,LightYellow,LightBlue,0,0,3,1,1966.28
106304,72,LightCyan,LightRed,0,0,3,0,7999.66
106304,73,LightCyan,DarkCyan,0,1,3,0,1733.82
106304,74,LightYellow,DarkBlue,0,1,1.5,0,1966.64
106304,75,DarkGreen,LightMagenta,1,0,3,0,1698.68
106304,76,DarkCyan,DarkBlue,1,1,7,0,1733.26
