Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
248576,1,LightBlue,DarkBlue,0,1,7,0,2837.13
248576,2,DarkMagenta,LightCyan,1,0,1.5,0,3200.89
248576,3,LightBlue,LightCyan,0,0,7,0,3070.03
248576,4,LightMagenta,DarkRed,0,1,1.5,0,3569.49
248576,5,DarkMagenta,DarkBlue,1,1,3,0,2566.04
248576,6,LightCyan,DarkGreen,0,1,3,0,2298.44
248576,7,DarkBlue,LightRed,1,0,7,1,24637.54
248576,8,DarkMagenta,DarkGreen,1,1,3,1,4270.07
248576,9,DarkYellow,DarkBlue,1,1,3,1,3635.46
248576,10,LightCyan,LightMagenta,0,0,3,0,15536.34
248576,11,DarkMagenta,LightMagenta,1,0,1.5,0,1733.98
248576,12,DarkYellow,LightCyan,1,0,3,0,2238.31
248576,13,DarkBlue,DarkGreen,1,1,7,1,9370.72
248576,14,LightGreen,DarkRed,0,1,3,0,3563.39
248576,15,LightMagenta,LightYellow,0,0,7,1,2924.59
248576,16,LightMagenta,DarkMagenta,0,1,7,0,2965.49
248576,17,DarkMagenta,DarkYellow,1,1,7,1,3834.42
248576,18,DarkCyan,LightRed,1,0,7,0,4432.67
248576,19,DarkCyan,LightMagenta,1,0,7,0,2663.09
248576,20,DarkBlue,DarkMagenta,1,1,1.5,0,2732.35
248576,21,DarkCyan,LightMagenta,1,0,3,1,11631.20
248576,22,DarkCyan,DarkYellow,1,1,1.5,0,5401.52
248576,23,DarkMagenta,LightBlue,1,0,1.5,1,5135.04
248576,24,DarkCyan,LightCyan,1,0,3,1,2862.25
248576,25,LightCyan,LightYellow,0,0,7,0,9294.14
248576,26,DarkYellow,LightGreen,1,0,1.5,1,5162.17
248576,27,DarkCyan,LightCyan,1,0,7,1,1168.37
248576,28,LightYellow,DarkBlue,0,1,7,0,5600.56
248576,29,DarkMagenta,DarkCyan,1,1,3,1,3969.78
248576,30,DarkYellow,LightYellow,1,0,3,1,1567.04
248576,31,LightCyan,DarkBlue,0,1,7,0,6300.53
248576,32,DarkRed,DarkBlue,1,1,7,1,3298.60
248576,33,LightBlue,DarkMagenta,0,1,3,0,2901.99
248576,34,LightCyan,LightBlue,0,0,1.5,0,2598.85
248576,35,DarkBlue,LightBlue,1,0,3,1,7028.82
248576,36,LightCyan,LightRed,0,0,7,0,3999.78
248576,37,LightBlue,DarkGreen,0,1,7,1,4099.64
248576,38,DarkCyan,LightBlue,1,0,1.5,0,4096.88
248576,39,DarkMagenta,DarkCyan,1,1,7,0,2566.02
248576,40,LightYellow,DarkCyan,0,1,3,0,4237.60
248576,41,LightBlue,LightRed,0,0,1.5,0,3536.80
248576,42,LightYellow,DarkRed,0,1,3,0,1732.63
248576,43,DarkMagenta,LightGreen,1,0,1.5,1,18832.47
248576,44,LightRed,DarkMagenta,0,1,7,0,4566.12
248576,45,DarkGreen,LightMagenta,1,0,3,0,2001.06
248576,46,LightCyan,LightGreen,0,0,7,0,1468.07
248576,47,LightYellow,LightRed,0,0,3,1,8367.08
248576,48,LightRed,LightGreen,0,0,1.5,1,1435.35
248576,49,DarkGreen,LightCyan,1,0,7,0,5601.57
248576,50,DarkBlue,LightMagenta,1,0,1.5,0,2333.69
248576,51,DarkBlue,DarkRed,1,1,1.5,0,1598.45
248576,52,LightBlue,LightRed,0,0,7,0,1468.10
248576,53,LightRed,DarkGreen,0,1,7,0,2036.71
248576,54,DarkCyan,LightMagenta,1,0,1.5,1,13736.77
248576,55,LightRed,DarkYellow,0,1,3,0,4198.56
248576,56,LightCyan,DarkRed,0,1,3,0,2668.59
248576,57,DarkBlue,DarkYellow,1,1,1.5,0,1267.74
248576,58,DarkYellow,DarkGreen,1,1,7,0,2399.23
248576,59,LightRed,LightCyan,0,0,1.5,1,11840.83
248576,60,DarkCyan,LightGreen,1,0,1.5,1,1132.83
248576,61,DarkMagenta,LightYellow,1,0,1.5,1,1434.35
248576,62,LightRed,DarkRed,0,1,7,0,7532.37
248576,63,DarkYellow,LightGreen,1,0,7,1,2636.49
248576,64,DarkMagenta,DarkBlue,1,1,7,0,3164.83
248576,65,DarkGreen,DarkCyan,1,1,1.5,1,4161.38
248576,66,LightBlue,DarkYellow,0,1,3,0,4002.46
248576,67,LightRed,DarkBlue,0,1,1.5,0,1600.05
248576,68,LightBlue,DarkGreen,0,1,1.5,1,6732.56
248576,69,DarkGreen,DarkMagenta,1,1,7,0,4333.46
248576,70,DarkBlue,LightGreen,1,0,7,1,3099.31
248576,71,LightCyan,DarkRed,0,1,7,0,2934.29
248576,72,DarkMagenta,DarkYellow,1,1,3,0,3167.59
248576,73,LightBlue,DarkRed,0,1,7,0,1598.15
248576,74,DarkMagenta,LightGreen,1,0,3,1,11364.96
248576,75,DarkRed,DarkGreen,1,1,7,0,5272.18
248576,76,LightYellow,LightMagenta,0,0,3,1,3305.74
