Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
658337,1,LightYellow,DarkCyan,0,1,3,1,1033.16
658337,2,LightGreen,DarkBlue,0,1,3,0,2271.46
658337,3,DarkMagenta,DarkGreen,1,1,3,0,904.96
658337,4,LightCyan,LightYellow,0,0,1.5,1,3599.84
658337,5,DarkBlue,LightMagenta,1,0,1.5,1,864.14
658337,6,DarkCyan,LightRed,1,0,7,1,994.70
658337,7,LightYellow,DarkGreen,0,1,1.5,1,1061.95
658337,8,DarkGreen,DarkRed,1,1,1.5,0,6751.36
658337,9,LightCyan,DarkBlue,0,1,1.5,0,1151.83
658337,10,DarkGreen,DarkMagenta,1,1,1.5,1,3910.06
658337,11,DarkYellow,DarkRed,1,1,7,1,1083.97
658337,12,DarkYellow,LightGreen,1,0,7,1,849.24
658337,13,LightGreen,LightRed,0,0,3,1,1035.18
658337,14,LightCyan,LightRed,0,0,7,1,968.11
658337,15,LightBlue,DarkCyan,0,1,7,1,1105.52
658337,16,LightGreen,DarkMagenta,0,1,3,0,9935.77
658337,17,DarkRed,LightGreen,1,0,7,0,956.36
658337,18,LightMagenta,LightGreen,0,0,1.5,1,3900.33
658337,19,LightBlue,DarkRed,0,1,1.5,1,1058.18
658337,20,DarkRed,LightRed,1,0,1.5,0,3998.86
658337,21,DarkGreen,LightCyan,1,0,7,0,1019.52
658337,22,DarkMagenta,LightYellow,1,0,7,0,1027.80
658337,23,LightCyan,LightMagenta,0,0,7,0,1133.36
658337,24,LightGreen,LightCyan,0,0,3,1,6956.25
658337,25,DarkGreen,LightGreen,1,0,7,0,2165.59
658337,26,DarkCyan,DarkMagenta,1,1,3,1,2202.02
658337,27,DarkBlue,LightMagenta,1,0,3,1,791.63
658337,28,LightBlue,DarkRed,0,1,7,0,3751.13
658337,29,LightCyan,LightMagenta,0,0,3,1,2733.09
658337,30,DarkMagenta,LightBlue,1,0,7,0,2497.03
658337,31,DarkRed,DarkYellow,1,1,1.5,1,2169.66
658337,32,LightGreen,DarkCyan,0,1,7,0,2297.06
658337,33,LightCyan,DarkGreen,0,1,1.5,1,2229.54
658337,34,DarkCyan,LightMagenta,1,0,3,0,2201.89
658337,35,LightCyan,LightBlue,0,0,3,0,817.60
658337,36,LightRed,LightMagenta,0,0,1.5,1,3624.42
658337,37,DarkGreen,DarkBlue,1,1,1.5,1,962.41
658337,38,DarkMagenta,DarkGreen,1,1,7,0,3866.01
658337,39,DarkMagenta,DarkYellow,1,1,3,1,2526.10
658337,40,LightRed,LightCyan,0,0,1.5,1,1198.42
658337,41,LightGreen,LightBlue,0,0,3,1,1218.56
