Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
119265,1,LightRed,DarkYellow,0,1,1.5,0,2667.22
119265,2,DarkBlue,LightGreen,1,0,7,1,6171.42
119265,3,LightBlue,LightMagenta,0,0,3,0,4904.52
119265,4,LightBlue,LightGreen,0,0,1.5,1,3596.94
119265,5,LightYellow,DarkYellow,0,1,3,0,4064.94
119265,6,DarkRed,LightGreen,1,0,1.5,1,5134.51
119265,7,LightBlue,LightCyan,0,0,7,0,5099.98
119265,8,LightCyan,LightYellow,0,0,1.5,1,4035.68
119265,9,LightRed,LightCyan,0,0,3,0,3438.02
119265,10,LightBlue,LightMagenta,0,0,7,1,2768.80
119265,11,DarkCyan,LightYellow,1,0,1.5,0,2696.24
119265,12,DarkYellow,DarkBlue,1,1,7,1,2864.45
119265,13,DarkRed,LightMagenta,1,0,7,1,1365.25
119265,14,DarkRed,DarkCyan,1,1,3,1,1201.48
119265,15,DarkRed,DarkYellow,1,1,3,0,6537.42
119265,16,LightGreen,LightCyan,0,0,1.5,0,1035.20
119265,17,DarkCyan,DarkMagenta,1,1,7,1,4364.75
119265,18,LightRed,LightYellow,0,0,7,0,2596.61
119265,19,LightBlue,DarkMagenta,0,1,3,0,965.55
119265,20,DarkCyan,LightMagenta,1,0,7,0,1325.36
119265,21,DarkRed,DarkGreen,1,1,7,0,1368.82
119265,22,DarkMagenta,DarkGreen,1,1,1.5,0,1299.28
119265,23,DarkMagenta,LightYellow,1,0,7,1,10031.10
119265,24,LightMagenta,DarkYellow,0,1,1.5,1,1200.80
119265,25,DarkBlue,DarkMagenta,1,1,1.5,1,1370.30
119265,26,LightRed,LightMagenta,0,0,3,1,1302.43
119265,27,LightGreen,DarkGreen,0,1,3,0,8700.47
119265,28,LightCyan,DarkBlue,0,1,7,1,3265.31
119265,29,DarkRed,LightBlue,1,0,7,1,1052.16
119265,30,DarkGreen,LightGreen,1,0,7,1,1318.98
119265,31,LightCyan,LightRed,0,0,1.5,0,6865.57
119265,32,DarkMagenta,LightGreen,1,0,1.5,1,3232.86
119265,33,LightCyan,DarkRed,0,1,7,0,3147.95
