Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
135919,1,LightBlue,LightRed,0,0,3,0,1268.30
135919,2,DarkCyan,LightBlue,1,0,7,0,1132.31
135919,3,DarkRed,DarkMagenta,1,1,1.5,1,4499.50
135919,4,LightBlue,DarkMagenta,0,1,1.5,0,2521.91
135919,5,DarkBlue,LightBlue,1,0,3,0,1066.94
135919,6,LightMagenta,LightBlue,0,0,1.5,0,1152.40
135919,7,LightGreen,DarkBlue,0,1,3,0,1065.55
135919,8,DarkYellow,LightYellow,1,0,7,1,7446.78
135919,9,DarkRed,LightCyan,1,0,1.5,0,2436.89
135919,10,LightMagenta,LightYellow,0,0,3,0,792.65
135919,11,LightMagenta,LightBlue,0,0,7,0,702.15
135919,12,LightMagenta,DarkRed,0,1,1.5,0,1165.38
135919,13,DarkYellow,LightGreen,1,0,3,1,6000.22
135919,14,DarkYellow,DarkMagenta,1,1,3,0,1401.42
135919,15,LightYellow,DarkMagenta,0,1,1.5,1,2493.53
135919,16,LightGreen,DarkGreen,0,1,7,0,3016.69
135919,17,LightCyan,DarkBlue,0,1,1.5,0,1250.65
135919,18,DarkGreen,LightBlue,1,0,3,1,4134.57
135919,19,LightMagenta,DarkBlue,0,1,3,0,2333.26
135919,20,DarkCyan,DarkRed,1,1,1.5,0,1099.24
135919,21,DarkBlue,DarkYellow,1,1,3,0,928.82
135919,22,DarkYellow,DarkGreen,1,1,3,1,5269.33
135919,23,LightYellow,DarkMagenta,0,1,3,0,2172.53
135919,24,DarkMagenta,LightBlue,1,0,7,1,2289.44
135919,25,DarkBlue,DarkGreen,1,1,7,1,667.24
135919,26,LightMagenta,DarkYellow,0,1,1.5,1,801.63
135919,27,LightRed,DarkYellow,0,1,3,0,4736.77
135919,28,DarkBlue,LightRed,1,0,7,0,967.64
135919,29,DarkRed,LightMagenta,1,0,3,1,3535.35
135919,30,LightGreen,DarkRed,0,1,3,0,1918.15
135919,31,DarkCyan,DarkBlue,1,1,3,0,700.30
135919,32,DarkYellow,DarkCyan,1,1,3,1,2985.82
135919,33,DarkBlue,LightCyan,1,0,7,1,836.64
135919,34,DarkGreen,DarkMagenta,1,1,1.5,0,5273.20
135919,35,LightGreen,DarkRed,0,1,7,0,1621.85
135919,36,LightBlue,DarkYellow,0,1,7,0,598.90
135919,37,DarkRed,DarkCyan,1,1,7,1,6997.43
135919,38,LightBlue,DarkRed,0,1,7,0,1334.58
135919,39,LightYellow,DarkBlue,0,1,1.5,1,2065.93
135919,40,DarkBlue,DarkCyan,1,1,7,0,2467.90
135919,41,DarkGreen,LightMagenta,1,0,1.5,0,665.83
135919,42,LightBlue,DarkBlue,0,1,7,1,2853.38
135919,43,DarkBlue,DarkRed,1,1,3,0,1387.94
135919,44,LightGreen,LightRed,0,0,7,1,1318.61
135919,45,LightMagenta,DarkBlue,0,1,1.5,0,1298.47
135919,46,LightRed,LightYellow,0,0,7,1,1299.15
135919,47,LightGreen,LightYellow,0,0,7,0,1635.00
135919,48,DarkMagenta,DarkGreen,1,1,3,0,466.98
135919,49,DarkMagenta,DarkCyan,1,1,7,0,432.55
135919,50,DarkBlue,DarkRed,1,1,1.5,1,3299.76
135919,51,LightRed,DarkYellow,0,1,1.5,1,1066.36
135919,52,DarkGreen,DarkRed,1,1,1.5,1,833.02
135919,53,DarkGreen,LightBlue,1,0,7,0,4366.93
135919,54,DarkGreen,DarkCyan,1,1,7,0,600.40
135919,55,DarkRed,LightGreen,1,0,1.5,0,764.31
135919,56,LightCyan,LightMagenta,0,0,3,0,738.40
135919,57,DarkGreen,DarkMagenta,1,1,7,1,5599.66
135919,58,LightGreen,DarkYellow,0,1,7,0,1566.01
135919,59,DarkMagenta,DarkCyan,1,1,3,0,651.74
135919,60,LightGreen,DarkMagenta,0,1,7,1,2552.18
135919,61,LightCyan,LightYellow,0,0,7,0,1336.61
135919,62,DarkRed,LightYellow,1,0,3,1,1398.90
135919,63,DarkGreen,DarkYellow,1,1,1.5,0,1467.52
135919,64,LightCyan,LightMagenta,0,0,1.5,1,1437.19
135919,65,DarkBlue,DarkRed,1,1,7,0,1397.13
135919,66,LightRed,DarkGreen,0,1,1.5,1,1248.78
135919,67,LightMagenta,LightGreen,0,0,1.5,0,1231.64
135919,68,DarkBlue,LightYellow,1,0,3,1,1298.90
135919,69,DarkGreen,DarkRed,1,1,3,1,397.17
135919,70,DarkMagenta,LightYellow,1,0,7,0,2318.88
135919,71,DarkCyan,LightCyan,1,0,3,1,1433.79
135919,72,DarkYellow,DarkBlue,1,1,1.5,1,950.82
135919,73,LightRed,LightBlue,0,0,7,1,768.96
135919,74,DarkMagenta,DarkBlue,1,1,3,1,800.48
135919,75,DarkGreen,LightCyan,1,0,3,1,732.39
135919,76,LightCyan,DarkBlue,0,1,3,1,649.41
135919,77,DarkBlue,LightGreen,1,0,1.5,0,8282.63
135919,78,LightRed,LightMagenta,0,0,1.5,1,2132.30
135919,79,DarkYellow,DarkRed,1,1,1.5,1,1087.21
135919,80,LightMagenta,LightGreen,0,0,7,0,3865.86
135919,81,DarkYellow,LightBlue,1,0,1.5,0,831.54
135919,82,LightMagenta,LightYellow,0,0,1.5,1,3314.07
135919,83,DarkCyan,DarkRed,1,1,3,0,1750.10
135919,84,DarkMagenta,DarkYellow,1,1,1.5,1,2034.89
135919,85,DarkGreen,LightYellow,1,0,3,0,2280.81
135919,86,DarkBlue,DarkMagenta,1,1,7,1,1882.85
135919,87,DarkMagenta,LightRed,1,0,7,0,1237.12
135919,88,LightMagenta,DarkMagenta,0,1,7,1,1254.33
135919,89,LightYellow,LightCyan,0,0,1.5,0,1607.82
135919,90,LightRed,DarkRed,0,1,1.5,1,1595.97
135919,91,LightYellow,DarkBlue,0,1,7,0,1331.39
135919,92,DarkMagenta,LightCyan,1,0,1.5,1,1367.70
135919,93,LightBlue,LightGreen,0,0,7,0,1402.61
135919,94,LightGreen,DarkGreen,0,1,1.5,0,557.13
135919,95,DarkRed,LightBlue,1,0,3,0,432.59
135919,96,LightMagenta,DarkCyan,0,1,3,1,3256.04
135919,97,DarkMagenta,DarkYellow,1,1,7,1,515.20
135919,98,DarkRed,DarkYellow,1,1,3,1,383.78
135919,99,DarkCyan,LightMagenta,1,0,7,1,374.13
135919,100,LightMagenta,LightYellow,0,0,7,1,385.00
135919,101,LightGreen,LightYellow,0,0,3,1,332.35
135919,102,DarkCyan,LightRed,1,0,3,1,530.85
135919,103,LightRed,LightCyan,0,0,1.5,1,401.39
135919,104,LightCyan,DarkRed,0,1,7,1,371.70
135919,105,LightRed,LightCyan,0,0,7,0,8497.28
135919,106,DarkBlue,DarkMagenta,1,1,1.5,0,869.58
135919,107,LightMagenta,DarkRed,0,1,7,0,601.95
135919,108,DarkGreen,DarkBlue,1,1,3,0,700.57
135919,109,LightMagenta,DarkGreen,0,1,7,0,648.71
135919,110,DarkRed,DarkMagenta,1,1,3,1,6523.00
135919,111,DarkCyan,LightMagenta,1,0,1.5,0,1875.35
135919,112,LightCyan,DarkGreen,0,1,1.5,1,1570.90
135919,113,DarkMagenta,LightRed,1,0,3,0,1480.93
135919,114,LightYellow,DarkGreen,0,1,7,1,1769.44
135919,115,DarkYellow,LightBlue,1,0,3,1,721.03
135919,116,LightBlue,DarkRed,0,1,1.5,1,1181.88
135919,117,LightRed,DarkRed,0,1,3,1,833.62
135919,118,DarkBlue,LightRed,1,0,1.5,1,763.95
135919,119,LightRed,DarkYellow,0,1,7,1,966.40
135919,120,LightBlue,LightRed,0,0,1.5,0,9475.04
135919,121,DarkCyan,LightYellow,1,0,1.5,0,567.80
135919,122,LightYellow,DarkYellow,0,1,3,1,3699.82
135919,123,DarkYellow,LightGreen,1,0,1.5,1,832.98
135919,124,LightCyan,DarkYellow,0,1,3,1,595.61
135919,125,DarkCyan,LightCyan,1,0,1.5,0,5350.86
135919,126,LightGreen,DarkMagenta,0,1,3,0,631.34
135919,127,DarkRed,LightCyan,1,0,3,0,603.05
135919,128,LightYellow,LightBlue,0,0,1.5,0,785.52
135919,129,DarkCyan,LightCyan,1,0,7,0,968.02
135919,130,DarkGreen,LightGreen,1,0,3,1,7543.86
135919,131,LightGreen,DarkMagenta,0,1,1.5,0,1319.81
135919,132,DarkMagenta,LightBlue,1,0,3,1,1402.61
135919,133,DarkGreen,DarkBlue,1,1,1.5,0,1399.35
135919,134,LightCyan,LightMagenta,0,0,7,1,1353.68
135919,135,DarkMagenta,LightRed,1,0,1.5,0,1529.40
135919,136,LightMagenta,LightBlue,0,0,3,1,1502.18
135919,137,DarkGreen,LightRed,1,0,3,0,1334.60
135919,138,DarkRed,DarkYellow,1,1,7,0,503.09
135919,139,DarkCyan,LightGreen,1,0,7,0,465.19
135919,140,DarkGreen,LightCyan,1,0,7,0,432.03
135919,141,DarkYellow,DarkBlue,1,1,7,1,4366.75
135919,142,LightGreen,DarkCyan,0,1,3,1,569.80
135919,143,DarkCyan,DarkYellow,1,1,1.5,1,535.44
135919,144,LightYellow,DarkCyan,0,1,7,1,769.26
135919,145,LightGreen,DarkCyan,0,1,1.5,1,429.87
135919,146,DarkRed,DarkGreen,1,1,7,1,436.89
135919,147,DarkRed,LightYellow,1,0,1.5,1,644.87
135919,148,DarkCyan,DarkBlue,1,1,1.5,1,429.96
135919,149,DarkGreen,DarkCyan,1,1,3,0,11105.95
135919,150,LightYellow,LightRed,0,0,3,0,594.15
135919,151,LightGreen,LightCyan,0,0,1.5,0,1203.32
135919,152,LightMagenta,LightRed,0,0,3,0,1469.31
135919,153,LightGreen,LightBlue,0,0,3,1,8627.81
135919,154,DarkGreen,LightRed,1,0,7,0,1796.05
135919,155,LightMagenta,DarkYellow,0,1,7,1,1665.94
135919,156,LightBlue,DarkGreen,0,1,1.5,1,799.10
135919,157,LightCyan,DarkYellow,0,1,7,1,532.35
135919,158,DarkCyan,DarkYellow,1,1,7,1,399.21
135919,159,LightRed,LightGreen,0,0,1.5,1,769.68
135919,160,DarkRed,LightYellow,1,0,7,1,571.90
135919,161,LightGreen,LightYellow,0,0,1.5,0,6698.16
135919,162,DarkCyan,LightRed,1,0,7,1,1029.04
135919,163,LightCyan,LightGreen,0,0,7,0,1329.80
135919,164,LightBlue,LightYellow,0,0,3,1,1330.90
135919,165,LightMagenta,DarkMagenta,0,1,3,0,1139.00
135919,166,LightMagenta,DarkGreen,0,1,3,0,359.55
135919,167,LightRed,LightCyan,0,0,3,0,327.95
135919,168,LightBlue,LightGreen,0,0,1.5,1,2796.46
135919,169,DarkYellow,LightYellow,1,0,1.5,1,461.35
135919,170,LightGreen,LightCyan,0,0,3,1,401.91
135919,171,DarkRed,DarkMagenta,1,1,7,1,396.09
135919,172,DarkBlue,LightMagenta,1,0,7,1,398.03
135919,173,LightCyan,DarkYellow,0,1,1.5,0,5255.16
135919,174,LightBlue,LightCyan,0,0,7,1,1594.56
135919,175,LightYellow,DarkCyan,0,1,3,0,1135.18
135919,176,LightBlue,DarkCyan,0,1,1.5,1,1167.95
135919,177,DarkMagenta,DarkCyan,1,1,1.5,0,1204.15
135919,178,LightRed,LightGreen,0,0,3,1,1137.40
135919,179,LightBlue,LightYellow,0,0,7,1,331.25
135919,180,LightBlue,LightCyan,0,0,1.5,1,330.86
135919,181,DarkMagenta,LightCyan,1,0,3,0,2631.95
135919,182,LightMagenta,DarkYellow,0,1,3,0,668.97
135919,183,LightCyan,DarkMagenta,0,1,7,0,531.10
135919,184,LightBlue,DarkBlue,0,1,1.5,0,432.62
135919,185,LightGreen,DarkBlue,0,1,7,0,333.16
135919,186,LightYellow,DarkGreen,0,1,1.5,1,4998.17
135919,187,DarkCyan,DarkGreen,1,1,1.5,1,368.82
135919,188,DarkGreen,DarkYellow,1,1,7,0,2036.26
135919,189,DarkCyan,LightBlue,1,0,3,1,1164.05
135919,190,LightYellow,LightRed,0,0,1.5,0,1036.76
135919,191,LightMagenta,DarkMagenta,0,1,1.5,1,1068.14
135919,192,LightRed,DarkBlue,0,1,3,1,265.00
135919,193,LightRed,DarkCyan,0,1,1.5,0,1895.95
135919,194,LightBlue,LightCyan,0,0,3,1,1032.90
135919,195,LightGreen,LightMagenta,0,0,3,0,1101.57
135919,196,DarkRed,LightRed,1,0,7,0,432.05
135919,197,LightYellow,LightCyan,0,0,3,1,2199.85
135919,198,LightRed,LightMagenta,0,0,7,1,561.28
