Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
673131,1,DarkYellow,DarkGreen,1,1,7,1,8600.73
673131,2,LightCyan,DarkRed,0,1,7,0,15469.27
673131,3,DarkBlue,LightRed,1,0,1.5,1,13765.87
673131,4,DarkGreen,LightCyan,1,0,7,1,4603.95
673131,5,LightGreen,DarkCyan,0,1,3,0,15065.80
673131,6,LightBlue,DarkCyan,0,1,3,0,3093.40
673131,7,LightBlue,LightGreen,0,0,3,1,8195.48
673131,8,DarkYellow,DarkRed,1,1,7,1,4705.30
673131,9,LightBlue,LightCyan,0,0,1.5,1,2669.32
673131,10,DarkBlue,DarkMagenta,1,1,3,1,2326.01
673131,11,LightMagenta,LightRed,0,0,7,1,2799.62
673131,12,LightYellow,DarkMagenta,0,1,1.5,1,5998.57
673131,13,DarkGreen,LightMagenta,1,0,1.5,1,2032.75
673131,14,LightBlue,DarkGreen,0,1,3,1,3830.43
673131,15,LightYellow,LightRed,0,0,1.5,1,2136.17
673131,16,DarkCyan,LightBlue,1,0,7,0,40431.37
673131,17,LightCyan,LightRed,0,0,1.5,1,11140.86
673131,18,LightRed,LightGreen,0,0,3,0,7368.23
673131,19,LightCyan,DarkGreen,0,1,1.5,1,11673.56
673131,20,DarkRed,LightRed,1,0,1.5,1,1896.65
673131,21,DarkYellow,LightCyan,1,0,3,1,2495.15
673131,22,DarkCyan,LightRed,1,0,1.5,1,2198.26
673131,23,LightCyan,DarkMagenta,0,1,7,0,22957.10
673131,24,LightYellow,DarkRed,0,1,7,0,2499.83
673131,25,DarkMagenta,DarkGreen,1,1,7,1,13099.08
673131,26,DarkBlue,DarkYellow,1,1,3,1,5232.39
673131,27,DarkYellow,DarkCyan,1,1,3,1,6166.78
673131,28,DarkGreen,LightRed,1,0,1.5,0,16933.20
673131,29,DarkBlue,LightGreen,1,0,3,1,5632.12
673131,30,DarkYellow,LightRed,1,0,3,1,4666.71
673131,31,LightGreen,DarkRed,0,1,3,0,11368.02
673131,32,LightRed,DarkRed,0,1,7,1,6437.64
673131,33,DarkGreen,LightBlue,1,0,1.5,0,12098.65
673131,34,LightYellow,LightMagenta,0,0,1.5,1,11295.77
673131,35,LightMagenta,LightRed,0,0,3,0,8056.38
673131,36,LightCyan,LightGreen,0,0,3,1,6298.23
673131,37,LightCyan,LightMagenta,0,0,1.5,0,3832.64
673131,38,LightRed,DarkMagenta,0,1,3,1,6302.67
673131,39,DarkGreen,DarkRed,1,1,3,1,1430.44
673131,40,LightGreen,DarkCyan,0,1,1.5,1,8574.00
673131,41,LightYellow,LightMagenta,0,0,7,1,5657.65
673131,42,LightYellow,LightBlue,0,0,3,0,27676.89
673131,43,LightYellow,DarkMagenta,0,1,7,0,1930.02
673131,44,DarkCyan,DarkRed,1,1,7,1,12563.90
673131,45,LightGreen,DarkGreen,0,1,1.5,0,11733.01
673131,46,DarkBlue,LightMagenta,1,0,1.5,1,10463.32
673131,47,DarkYellow,LightBlue,1,0,1.5,1,1857.78
673131,48,LightBlue,LightRed,0,0,1.5,1,1837.49
673131,49,LightCyan,DarkRed,0,1,3,0,10299.08
673131,50,DarkCyan,DarkYellow,1,1,1.5,1,6903.10
673131,51,DarkYellow,DarkRed,1,1,3,1,4734.63
