Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
941532,1,LightBlue,LightYellow,0,0,7,0,882.46
941532,2,LightGreen,LightMagenta,0,0,7,0,835.40
941532,3,LightRed,DarkBlue,0,1,3,0,1059.82
941532,4,DarkGreen,DarkYellow,1,1,7,1,5081.73
941532,5,LightMagenta,DarkYellow,0,1,3,0,2196.81
941532,6,DarkBlue,LightBlue,1,0,1.5,1,2336.72
941532,7,DarkYellow,DarkRed,1,1,7,0,2703.55
941532,8,DarkGreen,DarkBlue,1,1,7,1,2485.02
941532,9,DarkGreen,LightYellow,1,0,7,1,857.80
941532,10,DarkYellow,LightRed,1,0,3,1,860.42
941532,11,DarkGreen,LightRed,1,0,7,0,4931.97
941532,12,DarkMagenta,LightCyan,1,0,1.5,1,2794.63
941532,13,LightYellow,LightCyan,0,0,7,1,1110.51
941532,14,DarkGreen,LightYellow,1,0,1.5,0,4270.07
941532,15,LightRed,LightYellow,0,0,1.5,0,1036.68
941532,16,LightBlue,DarkRed,0,1,3,0,1077.11
941532,17,DarkYellow,DarkMagenta,1,1,7,0,501.04
941532,18,DarkMagenta,DarkGreen,1,1,1.5,1,6031.34
941532,19,LightYellow,DarkCyan,0,1,1.5,1,970.59
941532,20,LightMagenta,DarkGreen,0,1,7,0,3601.13
941532,21,DarkRed,DarkYellow,1,1,1.5,1,2766.19
941532,22,DarkRed,LightGreen,1,0,7,0,2598.90
941532,23,DarkRed,DarkGreen,1,1,3,1,3200.26
941532,24,LightCyan,LightRed,0,0,3,1,836.09
941532,25,LightMagenta,DarkMagenta,0,1,1.5,1,772.37
941532,26,DarkGreen,DarkYellow,1,1,3,1,1201.11
941532,27,LightRed,DarkBlue,0,1,1.5,0,7960.89
941532,28,DarkBlue,LightYellow,1,0,3,1,2830.25
941532,29,LightCyan,LightRed,0,0,7,1,1231.39
941532,30,DarkRed,DarkCyan,1,1,1.5,1,1069.58
941532,31,LightMagenta,DarkCyan,0,1,3,1,1332.03
941532,32,LightCyan,DarkGreen,0,1,3,0,8000.83
941532,33,LightYellow,LightGreen,0,0,3,1,3098.94
941532,34,LightRed,DarkCyan,0,1,7,0,2689.25
941532,35,LightYellow,DarkBlue,0,1,7,1,2397.01
941532,36,DarkCyan,LightCyan,1,0,3,1,879.26
941532,37,LightCyan,LightBlue,0,0,7,1,931.65
941532,38,DarkMagenta,LightYellow,1,0,1.5,0,5801.64
941532,39,DarkBlue,LightMagenta,1,0,3,0,1198.44
941532,40,DarkYellow,LightGreen,1,0,7,0,901.62
941532,41,LightCyan,LightMagenta,0,0,3,1,6081.93
941532,42,DarkRed,LightBlue,1,0,1.5,1,1096.55
941532,43,LightRed,DarkYellow,0,1,1.5,1,748.05
941532,44,LightMagenta,LightCyan,0,0,7,1,784.30
941532,45,LightGreen,LightMagenta,0,0,3,0,6478.63
941532,46,LightYellow,LightCyan,0,0,1.5,1,2630.66
941532,47,LightRed,LightBlue,0,0,1.5,1,735.47
941532,48,DarkMagenta,LightGreen,1,0,7,1,884.62
941532,49,LightCyan,DarkCyan,0,1,7,1,1248.50
941532,50,LightCyan,DarkMagenta,0,1,3,0,7320.29
941532,51,LightCyan,DarkBlue,0,1,1.5,1,2601.06
941532,52,LightMagenta,LightBlue,0,0,7,0,2816.18
941532,53,DarkGreen,DarkCyan,1,1,7,1,2816.58
941532,54,LightRed,DarkMagenta,0,1,3,0,2401.94
941532,55,LightBlue,LightGreen,0,0,1.5,1,2433.70
941532,56,LightCyan,LightBlue,0,0,1.5,1,834.45
941532,57,DarkRed,LightYellow,1,0,1.5,0,4286.30
941532,58,DarkCyan,DarkGreen,1,1,1.5,0,969.02
941532,59,DarkGreen,DarkBlue,1,1,3,0,1216.78
941532,60,LightBlue,DarkRed,0,1,7,1,6552.64
941532,61,LightCyan,LightRed,0,0,1.5,1,886.24
941532,62,DarkCyan,DarkGreen,1,1,3,1,1183.01
941532,63,LightRed,DarkMagenta,0,1,7,1,1369.25
941532,64,DarkBlue,LightRed,1,0,7,1,1382.87
941532,65,LightBlue,LightGreen,0,0,3,0,9681.05
941532,66,LightGreen,LightMagenta,0,0,1.5,0,1065.43
941532,67,LightMagenta,DarkYellow,0,1,7,1,4150.35
941532,68,DarkYellow,DarkMagenta,1,1,3,0,2850.38
941532,69,LightCyan,LightYellow,0,0,3,1,2829.54
941532,70,LightGreen,DarkRed,0,1,3,1,1700.82
941532,71,LightYellow,DarkYellow,0,1,1.5,1,1531.65
941532,72,DarkRed,LightMagenta,1,0,1.5,1,964.96
941532,73,DarkRed,DarkMagenta,1,1,1.5,0,8831.47
941532,74,LightRed,DarkRed,0,1,7,0,2300.48
941532,75,LightGreen,DarkMagenta,0,1,1.5,1,6002.16
941532,76,LightGreen,LightBlue,0,0,7,1,1494.54
941532,77,DarkYellow,DarkBlue,1,1,7,1,1299.66
941532,78,LightCyan,DarkCyan,0,1,1.5,0,6370.26
941532,79,DarkYellow,LightBlue,1,0,3,1,2552.28
941532,80,DarkRed,LightRed,1,0,3,0,2228.03
941532,81,DarkRed,LightYellow,1,0,7,1,2089.08
941532,82,DarkGreen,LightGreen,1,0,7,1,693.22
941532,83,DarkBlue,LightGreen,1,0,1.5,0,3779.38
941532,84,LightYellow,DarkGreen,0,1,3,1,2561.66
941532,85,LightGreen,DarkBlue,0,1,7,1,1231.21
941532,86,LightRed,LightBlue,0,0,7,1,960.45
941532,87,LightRed,LightYellow,0,0,7,0,6236.72
941532,88,DarkRed,LightRed,1,0,1.5,0,1534.78
941532,89,LightGreen,DarkMagenta,0,1,3,0,1702.28
941532,90,DarkCyan,DarkMagenta,1,1,3,0,1003.61
941532,91,DarkGreen,LightRed,1,0,3,0,1566.38
941532,92,DarkMagenta,DarkGreen,1,1,7,1,11029.11
941532,93,DarkYellow,LightBlue,1,0,1.5,1,1134.08
941532,94,DarkBlue,DarkRed,1,1,3,1,1602.59
941532,95,DarkMagenta,LightBlue,1,0,1.5,1,1030.71
941532,96,DarkYellow,LightGreen,1,0,1.5,0,8500.04
941532,97,LightRed,DarkCyan,0,1,3,1,3102.03
941532,98,LightBlue,DarkBlue,0,1,3,0,2800.27
941532,99,LightYellow,LightBlue,0,0,3,0,1271.54
941532,100,LightMagenta,DarkGreen,0,1,1.5,1,5032.53
941532,101,DarkYellow,LightRed,1,0,7,0,3168.50
941532,102,DarkGreen,DarkRed,1,1,7,0,1801.61
941532,103,DarkRed,DarkCyan,1,1,3,0,1670.70
941532,104,LightCyan,LightBlue,0,0,3,1,7367.25
941532,105,DarkMagenta,LightYellow,1,0,3,1,1470.38
941532,106,LightMagenta,LightRed,0,0,3,1,1431.41
941532,107,LightMagenta,LightCyan,0,0,1.5,0,6928.09
941532,108,DarkCyan,DarkMagenta,1,1,7,1,4069.32
941532,109,DarkRed,DarkCyan,1,1,7,1,600.93
941532,110,LightYellow,DarkCyan,0,1,3,0,4834.94
941532,111,DarkCyan,LightBlue,1,0,3,1,2401.55
941532,112,LightGreen,DarkGreen,0,1,3,0,2634.77
941532,113,LightMagenta,DarkCyan,0,1,7,0,903.33
941532,114,DarkRed,DarkBlue,1,1,7,1,4668.49
941532,115,DarkMagenta,LightMagenta,1,0,7,1,867.21
941532,116,DarkCyan,DarkYellow,1,1,1.5,1,1551.19
941532,117,DarkMagenta,DarkYellow,1,1,1.5,0,6628.60
941532,118,DarkCyan,DarkBlue,1,1,7,0,1563.83
941532,119,LightCyan,DarkBlue,0,1,7,0,1199.25
941532,120,LightMagenta,DarkRed,0,1,3,1,6734.77
941532,121,DarkMagenta,LightRed,1,0,1.5,1,2002.69
941532,122,DarkCyan,DarkMagenta,1,1,1.5,0,5834.09
941532,123,DarkCyan,DarkBlue,1,1,1.5,1,3201.44
941532,124,DarkRed,DarkMagenta,1,1,3,0,2737.87
941532,125,LightMagenta,DarkGreen,0,1,3,1,2666.34
941532,126,LightGreen,LightYellow,0,0,7,0,3034.54
941532,127,DarkYellow,DarkGreen,1,1,1.5,0,2206.71
941532,128,LightGreen,LightYellow,0,0,1.5,1,6569.81
941532,129,DarkBlue,DarkCyan,1,1,3,0,4060.36
941532,130,LightCyan,DarkYellow,0,1,3,0,1637.19
941532,131,DarkGreen,LightGreen,1,0,1.5,1,5472.83
941532,132,DarkGreen,LightCyan,1,0,7,0,2867.82
941532,133,LightMagenta,LightYellow,0,0,3,1,2368.91
941532,134,DarkBlue,LightBlue,1,0,7,1,1033.95
941532,135,DarkCyan,LightGreen,1,0,1.5,1,1233.04
941532,136,LightMagenta,DarkBlue,0,1,1.5,1,1496.36
941532,137,LightCyan,DarkYellow,0,1,7,0,8063.85
941532,138,DarkGreen,DarkMagenta,1,1,3,0,898.84
941532,139,DarkGreen,LightBlue,1,0,7,0,1235.40
941532,140,LightCyan,LightGreen,0,0,3,1,6335.30
941532,141,LightRed,LightBlue,0,0,3,0,2499.94
941532,142,LightCyan,DarkRed,0,1,1.5,1,2627.66
941532,143,DarkCyan,LightGreen,1,0,3,1,1566.55
941532,144,DarkBlue,DarkYellow,1,1,3,0,4864.68
941532,145,LightRed,LightYellow,0,0,3,0,1299.65
941532,146,DarkMagenta,DarkBlue,1,1,1.5,0,1035.71
941532,147,DarkYellow,LightGreen,1,0,3,1,6831.13
941532,148,DarkCyan,LightMagenta,1,0,1.5,0,3599.58
941532,149,LightYellow,LightBlue,0,0,1.5,0,1300.19
941532,150,DarkYellow,LightMagenta,1,0,1.5,0,1236.19
941532,151,LightRed,LightGreen,0,0,7,1,6401.50
941532,152,DarkRed,LightCyan,1,0,7,1,1033.26
941532,153,DarkRed,DarkBlue,1,1,1.5,0,4601.84
941532,154,LightRed,LightMagenta,0,0,7,0,1001.00
941532,155,DarkMagenta,LightMagenta,1,0,3,1,5303.37
941532,156,DarkBlue,DarkMagenta,1,1,7,1,1197.63
941532,157,LightBlue,DarkMagenta,0,1,7,1,870.95
941532,158,DarkMagenta,DarkRed,1,1,7,0,6801.59
941532,159,DarkYellow,LightCyan,1,0,1.5,0,1434.79
941532,160,LightYellow,LightMagenta,0,0,7,1,4995.16
941532,161,DarkYellow,DarkCyan,1,1,3,1,1498.56
941532,162,LightYellow,LightMagenta,0,0,1.5,0,5038.59
941532,163,DarkCyan,LightYellow,1,0,7,1,3062.39
941532,164,DarkRed,DarkGreen,1,1,1.5,1,1130.55
941532,165,DarkYellow,LightYellow,1,0,7,0,5875.26
941532,166,LightRed,DarkCyan,0,1,1.5,1,3898.43
941532,167,LightCyan,DarkRed,0,1,3,0,2608.82
941532,168,DarkBlue,LightGreen,1,0,3,1,2739.34
941532,169,LightRed,LightMagenta,0,0,1.5,1,1136.48
941532,170,DarkBlue,DarkGreen,1,1,1.5,1,1071.94
941532,171,LightRed,DarkGreen,0,1,1.5,0,5898.17
941532,172,LightBlue,DarkCyan,0,1,7,1,3033.33
941532,173,DarkMagenta,LightBlue,1,0,3,0,3199.52
941532,174,LightGreen,DarkRed,0,1,1.5,0,962.72
941532,175,LightCyan,DarkBlue,0,1,3,1,4531.77
941532,176,LightRed,LightGreen,0,0,1.5,0,3867.35
941532,177,LightGreen,LightCyan,0,0,7,1,3702.53
941532,178,DarkBlue,DarkMagenta,1,1,3,1,1203.51
941532,179,LightBlue,LightMagenta,0,0,1.5,1,1700.00
941532,180,DarkCyan,DarkYellow,1,1,7,1,1101.72
941532,181,LightMagenta,DarkRed,0,1,7,0,7764.03
941532,182,LightBlue,DarkCyan,0,1,1.5,1,1931.33
941532,183,DarkYellow,LightYellow,1,0,3,0,1933.04
941532,184,DarkYellow,DarkRed,1,1,3,1,2672.36
941532,185,LightBlue,LightMagenta,0,0,3,0,4305.94
941532,186,LightYellow,DarkMagenta,0,1,7,0,1303.44
941532,187,LightCyan,LightGreen,0,0,1.5,0,1232.30
941532,188,LightGreen,LightRed,0,0,3,0,1465.55
941532,189,DarkMagenta,LightCyan,1,0,7,1,10130.40
941532,190,LightBlue,DarkYellow,0,1,7,0,4031.34
941532,191,LightMagenta,DarkBlue,0,1,7,1,4698.06
941532,192,DarkBlue,LightYellow,1,0,1.5,1,2135.02
941532,193,DarkGreen,LightCyan,1,0,1.5,0,6762.02
941532,194,DarkCyan,LightGreen,1,0,7,0,1297.29
941532,195,DarkGreen,LightBlue,1,0,1.5,1,5073.64
941532,196,DarkBlue,DarkYellow,1,1,1.5,1,1501.03
941532,197,DarkGreen,LightBlue,1,0,3,1,1265.77
941532,198,DarkRed,LightYellow,1,0,3,0,7801.77
