Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
144338,1,LightYellow,LightCyan,0,0,3,0,899.10
144338,2,LightYellow,LightBlue,0,0,1.5,1,2230.79
144338,3,LightMagenta,DarkCyan,0,1,7,0,2231.11
144338,4,DarkBlue,LightRed,1,0,1.5,0,866.42
144338,5,LightRed,LightGreen,0,0,1.5,1,3631.22
144338,6,DarkBlue,DarkYellow,1,1,3,0,2236.02
144338,7,LightMagenta,DarkYellow,0,1,3,0,804.47
144338,8,LightYellow,LightMagenta,0,0,3,1,3500.75
144338,9,LightBlue,LightRed,0,0,3,1,1014.74
144338,10,DarkRed,LightGreen,1,0,3,0,3736.98
144338,11,LightYellow,DarkRed,0,1,3,0,1001.92
144338,12,LightGreen,LightCyan,0,0,1.5,1,3918.13
144338,13,LightCyan,DarkBlue,0,1,1.5,1,772.63
144338,14,LightBlue,LightMagenta,0,0,3,0,3700.14
144338,15,LightMagenta,LightCyan,0,0,7,1,2398.08
144338,16,DarkGreen,LightCyan,1,0,1.5,0,2362.69
144338,17,LightGreen,LightCyan,0,0,7,1,2097.64
144338,18,DarkCyan,LightRed,1,0,3,1,964.12
144338,19,LightRed,DarkYellow,0,1,7,0,3702.97
144338,20,LightYellow,DarkMagenta,0,1,3,0,868.29
144338,21,LightGreen,DarkYellow,0,1,7,1,3900.67
144338,22,LightRed,DarkGreen,0,1,7,0,2369.87
144338,23,LightYellow,DarkYellow,0,1,1.5,1,1999.96
144338,24,LightRed,DarkRed,0,1,7,1,1028.80
144338,25,DarkBlue,LightGreen,1,0,7,0,3566.54
144338,26,DarkBlue,LightRed,1,0,7,1,2568.39
144338,27,LightYellow,DarkBlue,0,1,1.5,1,1266.35
144338,28,LightRed,DarkGreen,0,1,1.5,0,4361.90
144338,29,LightBlue,DarkRed,0,1,7,0,1131.17
144338,30,DarkGreen,DarkYellow,1,1,3,1,4096.99
144338,31,LightBlue,DarkGreen,0,1,3,0,2501.05
144338,32,DarkMagenta,LightCyan,1,0,7,1,2500.05
144338,33,DarkRed,DarkBlue,1,1,7,1,1081.08
144338,34,DarkMagenta,DarkBlue,1,1,1.5,0,4300.17
144338,35,DarkCyan,LightBlue,1,0,1.5,0,751.11
144338,36,LightGreen,LightYellow,0,0,3,0,982.79
144338,37,DarkYellow,DarkRed,1,1,3,0,949.70
144338,38,LightMagenta,DarkCyan,0,1,3,1,6966.43
144338,39,LightMagenta,LightGreen,0,0,1.5,0,2882.51
144338,40,LightCyan,DarkGreen,0,1,7,0,998.40
144338,41,DarkRed,LightGreen,1,0,7,1,4000.23
144338,42,DarkBlue,DarkRed,1,1,3,0,2365.96
144338,43,DarkGreen,DarkRed,1,1,7,1,2361.73
144338,44,DarkGreen,DarkMagenta,1,1,7,0,2198.09
144338,45,DarkMagenta,LightMagenta,1,0,7,1,2271.67
144338,46,DarkGreen,DarkCyan,1,1,1.5,0,2302.71
144338,47,LightCyan,LightYellow,0,0,1.5,1,2405.40
144338,48,LightMagenta,DarkYellow,0,1,1.5,0,2367.41
144338,49,LightYellow,DarkGreen,0,1,7,1,2331.62
144338,50,LightBlue,DarkMagenta,0,1,7,1,869.39
144338,51,DarkYellow,DarkGreen,1,1,7,1,809.98
144338,52,LightYellow,LightBlue,0,0,3,0,5396.50
144338,53,LightRed,LightGreen,0,0,3,0,906.21
144338,54,LightGreen,LightBlue,0,0,1.5,0,1118.29
144338,55,DarkRed,DarkCyan,1,1,3,0,900.00
144338,56,LightRed,DarkMagenta,0,1,7,1,6983.89
144338,57,DarkRed,DarkYellow,1,1,7,1,1286.56
144338,58,LightMagenta,LightCyan,0,0,3,0,3951.18
144338,59,DarkRed,LightYellow,1,0,7,0,1096.12
144338,60,LightYellow,LightMagenta,0,0,1.5,1,3986.55
144338,61,DarkRed,DarkMagenta,1,1,7,0,2463.07
144338,62,DarkRed,LightMagenta,1,0,3,1,2164.95
144338,63,DarkRed,LightRed,1,0,3,1,803.83
144338,64,DarkGreen,DarkYellow,1,1,1.5,0,3468.14
144338,65,DarkBlue,DarkRed,1,1,1.5,1,2400.80
144338,66,DarkCyan,DarkRed,1,1,1.5,0,2401.28
144338,67,DarkGreen,LightGreen,1,0,1.5,1,2598.45
144338,68,DarkGreen,DarkBlue,1,1,3,0,2772.94
144338,69,DarkRed,LightCyan,1,0,7,1,2736.60
144338,70,LightYellow,DarkCyan,0,1,7,0,2768.00
144338,71,LightYellow,LightGreen,0,0,1.5,0,1284.79
144338,72,DarkMagenta,DarkCyan,1,1,1.5,0,1150.02
144338,73,LightCyan,LightRed,0,0,3,1,6228.82
144338,74,LightRed,LightBlue,0,0,1.5,0,3438.69
144338,75,DarkCyan,DarkYellow,1,1,7,1,3204.03
144338,76,LightCyan,DarkYellow,0,1,3,0,2380.89
144338,77,LightRed,LightYellow,0,0,7,0,1080.60
144338,78,DarkMagenta,DarkYellow,1,1,7,1,4402.06
144338,79,DarkMagenta,DarkBlue,1,1,7,0,2983.65
144338,80,LightRed,DarkRed,0,1,1.5,1,2505.78
144338,81,LightGreen,DarkGreen,0,1,3,0,2206.32
144338,82,LightBlue,DarkMagenta,0,1,1.5,0,898.40
144338,83,LightGreen,LightYellow,0,0,7,0,1264.64
144338,84,LightRed,LightGreen,0,0,7,1,5400.08
144338,85,LightRed,LightYellow,0,0,3,0,2728.90
144338,86,LightCyan,LightBlue,0,0,7,0,1034.07
144338,87,DarkCyan,LightBlue,1,0,3,1,4302.26
144338,88,DarkYellow,DarkBlue,1,1,1.5,0,2496.05
144338,89,LightBlue,LightMagenta,0,0,1.5,0,1237.35
144338,90,LightBlue,DarkBlue,0,1,1.5,0,1028.28
144338,91,DarkGreen,LightGreen,1,0,7,1,5767.55
144338,92,DarkCyan,DarkGreen,1,1,3,0,2759.91
144338,93,LightGreen,LightBlue,0,0,7,0,964.48
144338,94,DarkCyan,DarkBlue,1,1,7,0,1331.46
144338,95,LightGreen,DarkBlue,0,1,3,0,900.31
144338,96,LightMagenta,DarkMagenta,0,1,1.5,0,930.40
144338,97,DarkYellow,LightYellow,1,0,3,1,8873.05
144338,98,DarkMagenta,DarkCyan,1,1,3,1,900.72
144338,99,DarkBlue,DarkCyan,1,1,3,1,1268.18
144338,100,DarkCyan,DarkGreen,1,1,7,1,860.88
144338,101,LightGreen,LightCyan,0,0,3,0,6662.70
144338,102,DarkRed,LightMagenta,1,0,7,1,2138.09
144338,103,DarkGreen,LightYellow,1,0,1.5,0,2073.66
144338,104,LightCyan,DarkYellow,0,1,1.5,0,788.68
144338,105,DarkMagenta,LightBlue,1,0,3,1,3300.58
144338,106,DarkGreen,DarkBlue,1,1,1.5,0,1897.13
144338,107,LightYellow,LightMagenta,0,0,7,1,2035.30
144338,108,DarkCyan,DarkRed,1,1,7,0,2566.54
144338,109,LightMagenta,DarkBlue,0,1,1.5,0,895.38
144338,110,DarkYellow,DarkMagenta,1,1,1.5,0,763.78
144338,111,LightGreen,DarkBlue,0,1,1.5,0,738.07
144338,112,LightCyan,LightRed,0,0,7,0,964.08
144338,113,DarkCyan,DarkMagenta,1,1,7,0,691.63
144338,114,LightMagenta,LightRed,0,0,3,1,9168.48
144338,115,LightCyan,DarkMagenta,0,1,3,0,2199.97
144338,116,LightMagenta,LightBlue,0,0,7,0,1133.52
144338,117,LightMagenta,DarkBlue,0,1,7,0,696.28
144338,118,LightRed,LightYellow,0,0,1.5,0,736.07
144338,119,DarkGreen,DarkBlue,1,1,7,0,802.42
144338,120,DarkYellow,LightCyan,1,0,7,1,7699.38
144338,121,LightRed,DarkMagenta,0,1,1.5,0,2034.83
144338,122,LightGreen,DarkYellow,0,1,3,0,735.08
144338,123,DarkRed,DarkGreen,1,1,1.5,1,3069.72
144338,124,DarkMagenta,DarkGreen,1,1,3,1,802.05
144338,125,DarkRed,LightBlue,1,0,3,1,730.09
144338,126,LightGreen,DarkCyan,0,1,7,0,4569.62
144338,127,DarkGreen,LightCyan,1,0,3,1,1934.44
144338,128,LightMagenta,DarkGreen,0,1,1.5,0,1867.74
144338,129,DarkRed,DarkYellow,1,1,1.5,1,1665.23
144338,130,LightGreen,DarkMagenta,0,1,7,0,1665.20
144338,131,DarkMagenta,DarkRed,1,1,1.5,0,803.75
144338,132,DarkMagenta,DarkYellow,1,1,3,1,3533.38
144338,133,DarkMagenta,DarkBlue,1,1,3,0,2338.23
144338,134,LightYellow,DarkCyan,0,1,1.5,0,767.71
144338,135,DarkYellow,LightBlue,1,0,7,1,3406.41
144338,136,LightGreen,DarkMagenta,0,1,1.5,0,2101.40
144338,137,LightBlue,DarkCyan,0,1,7,0,924.99
144338,138,DarkYellow,LightRed,1,0,1.5,1,3634.11
144338,139,DarkRed,LightCyan,1,0,3,1,1062.83
144338,140,DarkCyan,DarkBlue,1,1,1.5,0,3740.00
144338,141,LightYellow,DarkBlue,0,1,7,0,794.37
144338,142,DarkMagenta,LightCyan,1,0,1.5,1,3306.98
144338,143,LightGreen,LightBlue,0,0,3,0,1999.56
144338,144,DarkMagenta,LightGreen,1,0,3,1,1837.78
144338,145,LightRed,LightMagenta,0,0,1.5,0,1635.20
144338,146,DarkBlue,LightCyan,1,0,3,1,1706.59
144338,147,DarkMagenta,DarkRed,1,1,3,0,1935.58
144338,148,LightBlue,DarkRed,0,1,1.5,0,668.20
144338,149,DarkGreen,LightMagenta,1,0,3,1,2960.66
144338,150,DarkGreen,DarkRed,1,1,3,0,1630.92
144338,151,LightYellow,LightCyan,0,0,7,1,1896.31
144338,152,DarkCyan,LightMagenta,1,0,1.5,0,1836.94
144338,153,LightCyan,LightRed,0,0,1.5,0,765.75
144338,154,LightBlue,LightRed,0,0,7,1,3199.36
144338,155,DarkGreen,LightYellow,1,0,3,1,697.99
144338,156,LightYellow,DarkCyan,0,1,3,0,3403.00
144338,157,LightRed,DarkYellow,0,1,3,1,2232.35
144338,158,LightBlue,DarkBlue,0,1,3,0,2469.01
144338,159,LightMagenta,DarkBlue,0,1,3,0,1428.85
144338,160,DarkGreen,DarkMagenta,1,1,1.5,0,802.04
144338,161,DarkGreen,LightRed,1,0,3,1,5898.98
144338,162,LightGreen,DarkCyan,0,1,1.5,0,2498.13
144338,163,LightBlue,DarkGreen,0,1,7,1,2563.28
144338,164,LightCyan,DarkBlue,0,1,7,0,2398.08
144338,165,LightCyan,DarkCyan,0,1,1.5,0,900.26
144338,166,LightGreen,DarkCyan,0,1,3,0,965.77
144338,167,DarkCyan,LightRed,1,0,1.5,1,4934.48
144338,168,DarkBlue,DarkYellow,1,1,7,0,2068.19
144338,169,DarkCyan,LightCyan,1,0,3,1,2431.20
144338,170,DarkRed,LightYellow,1,0,1.5,0,2238.64
144338,171,LightGreen,DarkYellow,0,1,1.5,0,668.31
144338,172,DarkRed,LightGreen,1,0,1.5,1,3066.80
144338,173,DarkBlue,LightYellow,1,0,3,1,668.61
144338,174,LightCyan,LightBlue,0,0,3,0,3200.09
144338,175,LightYellow,LightBlue,0,0,7,1,2366.75
144338,176,LightMagenta,DarkGreen,0,1,7,0,2365.85
144338,177,LightGreen,LightMagenta,0,0,3,0,735.82
144338,178,LightYellow,DarkYellow,0,1,7,0,700.04
144338,179,DarkYellow,DarkCyan,1,1,3,1,4765.95
144338,180,LightMagenta,LightGreen,0,0,7,0,2233.92
144338,181,LightMagenta,DarkMagenta,0,1,3,0,735.87
144338,182,DarkYellow,DarkCyan,1,1,1.5,1,3398.67
144338,183,DarkRed,LightCyan,1,0,1.5,1,1002.34
144338,184,LightBlue,DarkYellow,0,1,3,0,3667.26
144338,185,DarkYellow,LightMagenta,1,0,7,1,1998.91
144338,186,LightRed,DarkBlue,0,1,3,0,1933.50
144338,187,DarkGreen,LightBlue,1,0,1.5,0,535.78
144338,188,LightYellow,DarkMagenta,0,1,1.5,0,603.04
144338,189,LightBlue,LightCyan,0,0,1.5,0,532.52
144338,190,LightBlue,DarkYellow,0,1,1.5,0,465.62
144338,191,DarkBlue,LightBlue,1,0,7,1,6299.30
144338,192,LightRed,DarkMagenta,0,1,3,0,2467.87
144338,193,DarkRed,LightMagenta,1,0,1.5,1,2264.37
144338,194,DarkCyan,LightCyan,1,0,7,1,732.34
144338,195,DarkCyan,LightRed,1,0,7,1,929.55
144338,196,LightMagenta,LightRed,0,0,7,0,4602.55
144338,197,LightYellow,DarkMagenta,0,1,7,1,1934.19
144338,198,LightCyan,LightMagenta,0,0,1.5,0,1968.41
