Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
524494,1,DarkGreen,LightGreen,1,0,3,0,4997.01
524494,2,DarkCyan,LightYellow,1,0,1.5,0,8798.91
524494,3,DarkYellow,DarkCyan,1,1,7,1,22863.95
524494,4,DarkCyan,LightMagenta,1,0,3,1,2696.33
524494,5,DarkMagenta,DarkGreen,1,1,1.5,1,2032.32
524494,6,DarkCyan,DarkBlue,1,1,7,1,5068.71
524494,7,LightBlue,LightGreen,0,0,1.5,1,3733.59
524494,8,DarkBlue,LightGreen,1,0,7,0,26433.53
524494,9,DarkCyan,DarkRed,1,1,1.5,1,6501.49
524494,10,DarkRed,DarkGreen,1,1,7,0,6627.53
524494,11,LightGreen,LightCyan,0,0,3,1,6868.23
524494,12,DarkYellow,DarkGreen,1,1,1.5,0,9532.80
524494,13,LightMagenta,DarkCyan,0,1,1.5,0,1838.01
524494,14,LightGreen,LightBlue,0,0,3,0,4167.40
524494,15,DarkMagenta,DarkBlue,1,1,3,1,16333.13
524494,16,DarkBlue,LightYellow,1,0,7,0,5704.45
524494,17,DarkMagenta,LightBlue,1,0,1.5,1,5095.86
524494,18,DarkYellow,DarkMagenta,1,1,7,0,4966.38
524494,19,LightYellow,DarkYellow,0,1,3,0,2465.93
524494,20,LightGreen,DarkGreen,0,1,7,0,1227.10
524494,21,LightYellow,LightBlue,0,0,3,0,2635.79
524494,22,DarkBlue,DarkGreen,1,1,1.5,0,5737.37
524494,23,DarkBlue,DarkCyan,1,1,3,0,1331.06
524494,24,DarkYellow,LightRed,1,0,7,0,998.73
524494,25,LightBlue,DarkYellow,0,1,1.5,1,20860.81
524494,26,DarkGreen,LightMagenta,1,0,1.5,1,3199.97
524494,27,LightYellow,DarkBlue,0,1,1.5,0,10600.29
524494,28,LightMagenta,LightYellow,0,0,3,0,1667.09
524494,29,DarkYellow,DarkBlue,1,1,7,1,9299.77
524494,30,LightYellow,LightGreen,0,0,3,0,5231.47
524494,31,DarkGreen,LightYellow,1,0,1.5,1,9399.45
524494,32,DarkCyan,LightCyan,1,0,1.5,0,8806.34
524494,33,DarkMagenta,DarkCyan,1,1,3,0,1601.94
524494,34,LightBlue,LightMagenta,0,0,3,0,2630.92
524494,35,DarkRed,DarkMagenta,1,1,7,0,3200.70
524494,36,DarkMagenta,DarkCyan,1,1,7,1,17731.75
524494,37,DarkYellow,LightYellow,1,0,7,0,8596.14
524494,38,LightYellow,LightGreen,0,0,7,0,2763.90
524494,39,DarkBlue,DarkGreen,1,1,7,0,5000.16
524494,40,DarkRed,LightGreen,1,0,1.5,1,16533.13
524494,41,DarkCyan,DarkBlue,1,1,1.5,0,8823.93
524494,42,DarkBlue,LightGreen,1,0,3,1,7799.36
524494,43,DarkYellow,DarkCyan,1,1,1.5,1,4836.91
524494,44,LightRed,DarkYellow,0,1,3,0,15466.47
524494,45,DarkCyan,LightYellow,1,0,7,0,1433.45
524494,46,LightCyan,DarkMagenta,0,1,7,0,2600.51
524494,47,LightGreen,DarkCyan,0,1,3,0,6403.24
524494,48,LightRed,LightMagenta,0,0,1.5,0,6530.80
524494,49,DarkMagenta,DarkGreen,1,1,7,0,2226.34
524494,50,LightYellow,DarkYellow,0,1,1.5,1,31006.59
524494,51,LightBlue,DarkRed,0,1,1.5,1,4770.71
524494,52,DarkMagenta,DarkBlue,1,1,7,1,3272.68
524494,53,DarkMagenta,LightYellow,1,0,7,0,18038.37
524494,54,DarkBlue,DarkYellow,1,1,3,0,4461.66
524494,55,LightMagenta,DarkRed,0,1,1.5,1,17198.25
524494,56,LightMagenta,LightBlue,0,0,7,0,7896.05
524494,57,LightBlue,LightCyan,0,0,3,0,3540.91
524494,58,LightBlue,DarkGreen,0,1,3,0,2323.04
524494,59,LightYellow,LightMagenta,0,0,1.5,1,14375.90
524494,60,DarkGreen,LightBlue,1,0,7,0,9165.83
524494,61,LightBlue,LightGreen,0,0,7,0,3729.85
524494,62,DarkGreen,LightCyan,1,0,7,0,2367.96
524494,63,DarkCyan,LightGreen,1,0,1.5,0,5210.11
524494,64,DarkYellow,DarkMagenta,1,1,1.5,0,6402.11
524494,65,LightRed,LightMagenta,0,0,3,0,2501.14
524494,66,LightYellow,DarkRed,0,1,1.5,1,28335.25
524494,67,DarkBlue,DarkMagenta,1,1,1.5,1,5963.47
524494,68,LightRed,DarkCyan,0,1,7,0,10534.84
524494,69,DarkRed,DarkBlue,1,1,1.5,0,4299.20
524494,70,DarkBlue,LightMagenta,1,0,3,0,1909.42
524494,71,DarkRed,LightRed,1,0,1.5,0,9469.39
524494,72,LightBlue,DarkYellow,0,1,7,0,1307.17
524494,73,DarkBlue,DarkRed,1,1,7,1,22903.57
524494,74,LightMagenta,LightGreen,0,0,3,0,4031.16
