Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
329456,1,LightMagenta,LightBlue,0,0,1.5,1,1324.73
329456,2,DarkBlue,LightGreen,1,0,3,0,2990.49
329456,3,DarkGreen,DarkMagenta,1,1,1.5,1,2963.10
329456,4,DarkMagenta,LightYellow,1,0,7,0,3234.63
329456,5,LightGreen,LightBlue,0,0,1.5,1,2997.35
329456,6,LightYellow,LightGreen,0,0,3,0,2567.95
329456,7,LightGreen,DarkBlue,0,1,1.5,1,2946.40
329456,8,DarkBlue,LightYellow,1,0,7,0,3729.27
329456,9,LightBlue,LightCyan,0,0,7,0,1554.79
329456,10,DarkBlue,DarkRed,1,1,7,1,6272.55
329456,11,DarkYellow,LightYellow,1,0,7,1,1330.87
329456,12,LightRed,DarkBlue,0,1,7,0,5797.89
329456,13,LightYellow,DarkRed,0,1,1.5,0,1734.96
329456,14,DarkRed,LightGreen,1,0,1.5,1,6537.81
329456,15,LightRed,DarkRed,0,1,7,0,5253.80
329456,16,DarkYellow,DarkMagenta,1,1,1.5,1,4742.87
329456,17,LightGreen,LightCyan,0,0,3,0,4731.00
329456,18,DarkRed,DarkMagenta,1,1,1.5,1,5498.11
329456,19,LightRed,LightBlue,0,0,1.5,0,6229.94
329456,20,LightYellow,LightMagenta,0,0,7,0,1533.04
329456,21,DarkCyan,DarkBlue,1,1,1.5,0,3968.25
329456,22,DarkMagenta,LightBlue,1,0,3,1,12132.35
329456,23,DarkBlue,LightMagenta,1,0,7,0,6829.39
329456,24,DarkRed,LightCyan,1,0,1.5,1,5758.84
329456,25,LightYellow,DarkYellow,0,1,1.5,0,2226.94
329456,26,DarkYellow,DarkCyan,1,1,7,0,1199.06
329456,27,DarkMagenta,DarkYellow,1,1,7,0,1164.13
329456,28,LightRed,LightYellow,0,0,3,1,6366.89
329456,29,LightCyan,DarkBlue,0,1,3,0,2935.24
329456,30,DarkCyan,DarkMagenta,1,1,7,0,1357.89
329456,31,LightCyan,LightYellow,0,0,3,0,1199.58
329456,32,LightGreen,DarkCyan,0,1,3,0,888.24
329456,33,DarkGreen,DarkRed,1,1,3,0,797.94
329456,34,DarkYellow,DarkMagenta,1,1,3,0,2398.98
329456,35,DarkMagenta,LightMagenta,1,0,3,1,12640.48
329456,36,LightGreen,LightMagenta,0,0,3,0,3536.54
329456,37,DarkMagenta,DarkCyan,1,1,3,0,907.23
329456,38,DarkYellow,LightRed,1,0,3,0,801.28
329456,39,DarkRed,LightMagenta,1,0,3,1,5000.18
329456,40,LightMagenta,LightGreen,0,0,7,1,2933.60
329456,41,LightGreen,LightCyan,0,0,7,0,5779.14
329456,42,DarkYellow,LightRed,1,0,1.5,1,3931.30
329456,43,LightCyan,DarkCyan,0,1,1.5,0,5731.67
329456,44,DarkYellow,DarkGreen,1,1,3,0,1847.23
329456,45,LightCyan,DarkBlue,0,1,7,0,2401.14
329456,46,DarkYellow,DarkCyan,1,1,3,0,898.82
329456,47,LightYellow,DarkGreen,0,1,3,1,10999.04
329456,48,LightYellow,LightBlue,0,0,7,0,2433.74
