Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
539410,1,DarkRed,DarkCyan,1,1,7,1,1435.00
539410,2,LightGreen,DarkGreen,0,1,1.5,1,1001.08
539410,3,DarkBlue,LightCyan,1,0,3,1,1369.89
539410,4,LightYellow,LightRed,0,0,7,1,1271.26
539410,5,DarkGreen,LightYellow,1,0,3,1,761.59
539410,6,DarkRed,DarkCyan,1,1,1.5,0,9500.10
539410,7,DarkGreen,LightCyan,1,0,7,1,2463.63
539410,8,LightBlue,DarkMagenta,0,1,3,1,864.61
539410,9,DarkMagenta,DarkRed,1,1,3,1,841.90
539410,10,DarkRed,DarkYellow,1,1,3,1,666.74
539410,11,DarkYellow,DarkCyan,1,1,7,1,864.38
539410,12,DarkCyan,LightRed,1,0,1.5,0,7764.73
539410,13,DarkCyan,LightBlue,1,0,3,0,933.53
539410,14,LightMagenta,LightYellow,0,0,3,0,1040.22
539410,15,DarkCyan,DarkGreen,1,1,3,0,1163.18
539410,16,LightCyan,DarkCyan,0,1,3,1,7002.20
539410,17,DarkCyan,LightMagenta,1,0,1.5,0,2931.87
539410,18,LightCyan,LightGreen,0,0,7,0,1436.00
539410,19,DarkGreen,LightMagenta,1,0,7,0,1370.63
539410,20,DarkYellow,DarkMagenta,1,1,1.5,0,1139.89
539410,21,DarkYellow,DarkCyan,1,1,3,0,1125.98
539410,22,DarkGreen,DarkYellow,1,1,1.5,0,1400.31
539410,23,DarkRed,LightBlue,1,0,3,0,972.53
539410,24,DarkYellow,LightRed,1,0,1.5,0,1134.74
539410,25,DarkRed,DarkBlue,1,1,1.5,0,933.45
539410,26,LightMagenta,LightRed,0,0,3,0,1201.76
539410,27,DarkGreen,LightGreen,1,0,7,1,19407.60
539410,28,DarkMagenta,DarkCyan,1,1,3,0,3570.46
539410,29,DarkYellow,DarkGreen,1,1,7,1,2636.50
539410,30,LightGreen,LightBlue,0,0,3,1,834.96
539410,31,DarkRed,DarkGreen,1,1,3,1,1018.59
539410,32,LightBlue,DarkMagenta,0,1,1.5,0,5630.18
539410,33,LightRed,DarkBlue,0,1,3,1,2871.11
539410,34,DarkGreen,DarkMagenta,1,1,1.5,0,2697.39
539410,35,DarkCyan,LightRed,1,0,7,1,3029.83
539410,36,DarkGreen,DarkBlue,1,1,3,0,3170.24
539410,37,LightCyan,LightRed,0,0,1.5,0,1072.17
539410,38,DarkGreen,LightMagenta,1,0,3,1,4998.74
539410,39,DarkBlue,DarkCyan,1,1,1.5,0,3667.10
539410,40,LightRed,DarkRed,0,1,3,0,1125.84
539410,41,LightCyan,LightYellow,0,0,7,1,5564.91
539410,42,LightGreen,LightMagenta,0,0,7,0,3267.26
539410,43,LightBlue,LightGreen,0,0,7,1,2195.63
539410,44,DarkRed,DarkCyan,1,1,3,1,799.89
539410,45,LightBlue,LightGreen,0,0,1.5,0,3734.09
539410,46,DarkGreen,LightCyan,1,0,1.5,0,1472.18
539410,47,DarkMagenta,LightBlue,1,0,7,0,1233.62
539410,48,DarkGreen,DarkCyan,1,1,1.5,1,6494.77
539410,49,DarkCyan,LightMagenta,1,0,7,1,966.91
539410,50,LightYellow,DarkMagenta,0,1,1.5,1,1167.38
539410,51,DarkBlue,LightGreen,1,0,7,1,1435.23
539410,52,LightMagenta,DarkCyan,0,1,3,1,999.50
539410,53,LightYellow,LightMagenta,0,0,1.5,0,9538.90
539410,54,LightCyan,DarkYellow,0,1,7,0,1303.97
539410,55,LightBlue,DarkCyan,0,1,1.5,1,5336.67
539410,56,LightYellow,LightGreen,0,0,1.5,1,935.88
539410,57,DarkBlue,LightMagenta,1,0,3,0,5035.24
539410,58,DarkRed,LightCyan,1,0,1.5,0,1301.46
539410,59,LightGreen,DarkRed,0,1,3,1,4896.80
539410,60,DarkBlue,LightGreen,1,0,3,0,3535.55
539410,61,DarkBlue,DarkYellow,1,1,3,0,1335.05
539410,62,DarkRed,DarkGreen,1,1,1.5,0,2394.91
539410,63,LightYellow,DarkMagenta,0,1,7,0,2462.05
539410,64,DarkYellow,LightRed,1,0,7,1,11305.02
539410,65,LightMagenta,LightYellow,0,0,7,0,3370.36
539410,66,DarkMagenta,DarkYellow,1,1,3,1,3200.32
539410,67,DarkYellow,LightMagenta,1,0,3,1,1534.94
539410,68,DarkRed,LightGreen,1,0,7,1,1932.78
539410,69,DarkGreen,LightBlue,1,0,1.5,1,1368.87
539410,70,LightYellow,DarkMagenta,0,1,3,1,1611.68
539410,71,LightCyan,LightGreen,0,0,1.5,1,1068.39
539410,72,LightYellow,DarkBlue,0,1,7,0,12932.61
539410,73,LightRed,LightYellow,0,0,1.5,0,1069.21
539410,74,LightRed,LightCyan,0,0,7,1,4798.50
539410,75,DarkMagenta,LightRed,1,0,7,1,929.48
539410,76,DarkRed,DarkBlue,1,1,7,1,734.84
539410,77,DarkYellow,DarkBlue,1,1,7,1,1231.73
539410,78,DarkYellow,DarkRed,1,1,7,1,832.81
539410,79,LightRed,DarkRed,0,1,7,0,8704.51
539410,80,LightBlue,LightCyan,0,0,3,1,2398.52
539410,81,DarkYellow,LightBlue,1,0,1.5,1,1340.93
539410,82,LightCyan,DarkCyan,0,1,7,1,1165.52
539410,83,DarkGreen,DarkMagenta,1,1,7,0,6502.19
539410,84,DarkMagenta,LightGreen,1,0,1.5,0,1699.53
539410,85,DarkGreen,LightBlue,1,0,7,0,2066.79
539410,86,DarkYellow,LightYellow,1,0,7,1,7831.49
539410,87,LightCyan,LightYellow,0,0,1.5,0,3035.59
539410,88,LightCyan,DarkMagenta,0,1,3,1,2934.82
539410,89,DarkMagenta,DarkYellow,1,1,7,0,3004.31
539410,90,LightRed,DarkGreen,0,1,1.5,0,1433.22
539410,91,DarkRed,LightYellow,1,0,3,1,6463.31
539410,92,DarkBlue,DarkYellow,1,1,1.5,0,5131.42
539410,93,DarkMagenta,LightCyan,1,0,1.5,0,1300.00
539410,94,LightMagenta,LightCyan,0,0,3,0,1399.36
539410,95,DarkMagenta,DarkBlue,1,1,3,0,1170.89
539410,96,LightRed,LightGreen,0,0,3,0,798.08
539410,97,LightYellow,LightBlue,0,0,3,0,1466.94
539410,98,LightMagenta,DarkYellow,0,1,1.5,0,1133.49
539410,99,LightBlue,DarkRed,0,1,7,0,1836.13
539410,100,LightBlue,LightRed,0,0,3,1,16767.21
539410,101,DarkRed,LightGreen,1,0,1.5,1,2403.45
539410,102,LightMagenta,DarkRed,0,1,1.5,0,6369.20
539410,103,LightMagenta,DarkBlue,0,1,7,0,2799.73
539410,104,DarkBlue,DarkCyan,1,1,3,0,867.48
539410,105,DarkGreen,LightGreen,1,0,3,1,7628.05
539410,106,DarkRed,LightCyan,1,0,7,1,1924.56
539410,107,DarkGreen,DarkCyan,1,1,7,1,935.02
539410,108,DarkBlue,LightMagenta,1,0,1.5,1,1030.17
539410,109,LightBlue,LightCyan,0,0,7,1,1164.95
539410,110,DarkBlue,LightRed,1,0,1.5,1,2360.78
539410,111,LightMagenta,LightBlue,0,0,3,0,13668.02
539410,112,LightYellow,DarkCyan,0,1,3,1,4344.75
539410,113,LightBlue,LightRed,0,0,7,0,3402.57
539410,114,LightCyan,DarkMagenta,0,1,7,0,1099.08
539410,115,DarkGreen,LightYellow,1,0,7,0,992.66
539410,116,DarkRed,LightMagenta,1,0,7,0,901.99
539410,117,DarkRed,LightRed,1,0,1.5,1,7897.87
539410,118,DarkYellow,DarkRed,1,1,1.5,0,3793.71
539410,119,DarkGreen,LightRed,1,0,3,1,3404.30
539410,120,DarkBlue,LightBlue,1,0,1.5,1,1200.06
539410,121,LightYellow,LightRed,0,0,3,0,4959.31
539410,122,DarkBlue,LightYellow,1,0,3,1,3032.36
539410,123,DarkCyan,LightCyan,1,0,1.5,0,3431.27
539410,124,DarkYellow,LightBlue,1,0,3,1,3602.56
539410,125,DarkMagenta,DarkGreen,1,1,3,0,3037.19
539410,126,DarkMagenta,LightRed,1,0,3,0,1503.24
539410,127,DarkRed,LightYellow,1,0,7,0,1632.44
539410,128,DarkMagenta,LightMagenta,1,0,3,1,6992.04
539410,129,DarkCyan,DarkYellow,1,1,1.5,1,1131.34
539410,130,DarkYellow,LightGreen,1,0,1.5,1,1031.95
539410,131,DarkCyan,LightYellow,1,0,1.5,1,903.73
539410,132,LightRed,LightBlue,0,0,1.5,1,1232.60
539410,133,LightCyan,LightMagenta,0,0,7,0,10030.58
539410,134,LightBlue,LightMagenta,0,0,7,0,1504.10
539410,135,LightRed,DarkGreen,0,1,7,0,1101.15
539410,136,DarkRed,LightYellow,1,0,1.5,0,1872.08
539410,137,DarkCyan,LightRed,1,0,3,0,1227.17
539410,138,DarkBlue,LightYellow,1,0,1.5,0,1702.72
539410,139,LightGreen,LightMagenta,0,0,1.5,1,14029.41
539410,140,LightCyan,LightMagenta,0,0,1.5,0,3534.43
539410,141,DarkCyan,LightGreen,1,0,1.5,1,5097.08
539410,142,DarkGreen,DarkBlue,1,1,1.5,1,1830.47
539410,143,LightGreen,LightRed,0,0,1.5,0,6967.27
539410,144,DarkCyan,DarkBlue,1,1,7,0,2133.71
539410,145,LightRed,LightGreen,0,0,7,1,7166.25
539410,146,DarkBlue,LightBlue,1,0,7,0,5033.52
539410,147,LightRed,LightMagenta,0,0,7,0,1999.79
539410,148,LightMagenta,DarkYellow,0,1,7,0,806.89
539410,149,DarkRed,DarkGreen,1,1,7,0,1658.90
539410,150,DarkBlue,LightGreen,1,0,1.5,0,1611.31
539410,151,DarkRed,DarkMagenta,1,1,7,0,1437.97
539410,152,LightGreen,DarkCyan,0,1,3,1,14300.62
539410,153,LightBlue,LightCyan,0,0,1.5,1,1304.91
539410,154,LightGreen,DarkCyan,0,1,7,0,6067.66
539410,155,DarkYellow,LightYellow,1,0,3,0,1961.71
539410,156,DarkMagenta,DarkBlue,1,1,1.5,0,1894.59
539410,157,DarkYellow,LightGreen,1,0,3,0,905.08
539410,158,LightYellow,DarkYellow,0,1,1.5,0,995.72
539410,159,DarkBlue,LightBlue,1,0,3,1,11522.55
539410,160,DarkYellow,DarkGreen,1,1,3,1,966.95
539410,161,LightCyan,DarkGreen,0,1,3,1,900.18
