Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
848724,1,DarkRed,DarkCyan,1,1,1.5,1,2501.18
848724,2,DarkCyan,LightGreen,1,0,3,1,1302.68
848724,3,DarkBlue,LightBlue,1,0,3,1,1065.50
848724,4,DarkBlue,DarkMagenta,1,1,7,0,7400.41
848724,5,DarkYellow,LightBlue,1,0,1.5,0,1271.20
848724,6,DarkRed,DarkBlue,1,1,1.5,0,703.40
848724,7,DarkRed,LightCyan,1,0,3,0,2004.18
848724,8,LightYellow,DarkYellow,0,1,3,0,1001.49
848724,9,DarkGreen,LightYellow,1,0,7,1,9631.72
848724,10,DarkYellow,LightMagenta,1,0,7,0,2703.61
848724,11,LightRed,DarkRed,0,1,1.5,1,4433.69
848724,12,LightMagenta,DarkBlue,0,1,3,1,1234.49
848724,13,LightBlue,DarkRed,0,1,1.5,0,6462.95
848724,14,DarkYellow,DarkMagenta,1,1,3,0,1371.89
848724,15,DarkCyan,LightCyan,1,0,1.5,1,4743.61
848724,16,LightMagenta,DarkYellow,0,1,3,1,1035.19
848724,17,LightMagenta,DarkRed,0,1,7,0,3889.79
848724,18,LightRed,DarkYellow,0,1,1.5,1,3165.49
848724,19,DarkMagenta,LightBlue,1,0,1.5,1,997.55
848724,20,DarkGreen,LightBlue,1,0,3,0,4639.36
848724,21,DarkMagenta,LightYellow,1,0,1.5,1,2398.31
848724,22,LightRed,LightMagenta,0,0,7,0,2608.53
848724,23,LightMagenta,DarkCyan,0,1,7,0,1562.65
848724,24,DarkGreen,LightCyan,1,0,3,1,5326.26
848724,25,DarkGreen,DarkRed,1,1,3,1,1701.81
848724,26,LightGreen,DarkMagenta,0,1,1.5,1,1692.21
848724,27,DarkYellow,DarkGreen,1,1,3,1,1764.33
848724,28,DarkBlue,DarkCyan,1,1,3,0,10504.50
848724,29,LightYellow,DarkMagenta,0,1,7,1,3627.85
848724,30,DarkBlue,LightMagenta,1,0,7,1,958.62
848724,31,DarkYellow,LightRed,1,0,3,1,1102.82
848724,32,LightBlue,DarkGreen,0,1,7,1,1033.94
