Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
167112,1,DarkBlue,LightCyan,1,0,3,0,23937.40
167112,2,LightRed,DarkBlue,0,1,3,0,1567.15
167112,3,LightGreen,DarkYellow,0,1,1.5,0,2330.26
167112,4,DarkMagenta,LightYellow,1,0,1.5,1,33340.38
167112,5,LightCyan,LightYellow,0,0,3,0,6000.35
167112,6,DarkCyan,LightYellow,1,0,7,0,1404.36
167112,7,DarkBlue,LightGreen,1,0,7,0,1904.35
167112,8,DarkCyan,DarkMagenta,1,1,3,1,7499.78
167112,9,LightBlue,LightRed,0,0,1.5,0,3338.84
167112,10,LightYellow,DarkMagenta,0,1,7,1,3796.84
167112,11,DarkBlue,DarkMagenta,1,1,7,1,2398.48
167112,12,DarkBlue,LightMagenta,1,0,1.5,1,1435.25
167112,13,DarkYellow,LightCyan,1,0,3,0,8528.29
167112,14,LightRed,LightGreen,0,0,7,1,3731.10
167112,15,DarkCyan,DarkRed,1,1,3,0,3670.94
167112,16,LightMagenta,DarkGreen,0,1,3,0,1966.97
167112,17,LightMagenta,DarkMagenta,0,1,1.5,1,6196.22
167112,18,DarkGreen,DarkRed,1,1,3,1,2665.03
167112,19,DarkYellow,LightBlue,1,0,7,0,8193.65
167112,20,LightMagenta,DarkMagenta,0,1,3,1,5666.33
167112,21,DarkGreen,LightBlue,1,0,1.5,1,1700.70
167112,22,LightCyan,DarkYellow,0,1,7,1,1868.59
167112,23,DarkRed,LightRed,1,0,1.5,0,9739.93
167112,24,DarkYellow,DarkMagenta,1,1,3,1,4689.93
167112,25,LightRed,DarkMagenta,0,1,7,0,3536.48
167112,26,DarkMagenta,LightYellow,1,0,3,1,2802.50
167112,27,LightBlue,DarkMagenta,0,1,1.5,0,2762.30
167112,28,LightYellow,DarkBlue,0,1,1.5,1,3045.93
167112,29,LightRed,LightYellow,0,0,7,1,1034.71
167112,30,DarkRed,LightCyan,1,0,7,1,1004.59
167112,31,DarkGreen,DarkCyan,1,1,1.5,1,1569.11
167112,32,LightCyan,LightMagenta,0,0,7,1,1709.60
167112,33,DarkGreen,DarkBlue,1,1,7,0,10735.21
167112,34,DarkMagenta,LightCyan,1,0,3,1,3604.93
167112,35,DarkGreen,DarkBlue,1,1,1.5,1,1664.14
167112,36,LightYellow,LightGreen,0,0,1.5,1,1632.38
167112,37,LightBlue,DarkYellow,0,1,3,0,7672.21
167112,38,LightGreen,DarkYellow,0,1,7,0,1274.08
167112,39,DarkBlue,DarkRed,1,1,1.5,0,1237.19
167112,40,DarkYellow,LightYellow,1,0,7,1,6428.37
167112,41,DarkCyan,DarkGreen,1,1,3,1,841.97
167112,42,DarkBlue,DarkCyan,1,1,7,0,4001.65
167112,43,DarkBlue,DarkYellow,1,1,7,1,2266.22
167112,44,LightBlue,DarkMagenta,0,1,3,0,2232.11
167112,45,DarkGreen,LightCyan,1,0,3,1,2269.11
167112,46,LightYellow,DarkGreen,0,1,1.5,0,2102.98
167112,47,DarkCyan,DarkRed,1,1,7,1,2502.86
167112,48,LightMagenta,LightGreen,0,0,1.5,1,1705.95
167112,49,DarkRed,DarkMagenta,1,1,7,0,5330.39
167112,50,LightBlue,DarkRed,0,1,3,1,3363.35
167112,51,DarkRed,DarkGreen,1,1,7,1,972.49
167112,52,DarkYellow,DarkCyan,1,1,3,0,4600.68
167112,53,LightGreen,LightMagenta,0,0,7,1,3168.07
167112,54,LightBlue,DarkYellow,0,1,1.5,0,3136.02
167112,55,DarkCyan,LightCyan,1,0,7,1,3403.10
