Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
891454,1,LightGreen,DarkMagenta,0,1,3,1,1098.74
891454,2,DarkCyan,DarkRed,1,1,1.5,1,599.78
891454,3,DarkBlue,DarkRed,1,1,3,0,3338.68
891454,4,LightRed,LightYellow,0,0,3,1,7236.07
891454,5,LightMagenta,DarkCyan,0,1,1.5,0,7823.16
891454,6,DarkMagenta,LightBlue,1,0,3,1,3132.94
891454,7,LightCyan,DarkRed,0,1,7,0,2965.16
891454,8,LightBlue,DarkYellow,0,1,7,1,2803.06
891454,9,DarkGreen,LightBlue,1,0,7,1,1039.03
891454,10,LightMagenta,DarkMagenta,0,1,1.5,0,4552.65
891454,11,LightMagenta,LightGreen,0,0,7,0,1161.71
891454,12,DarkRed,LightRed,1,0,1.5,1,4765.93
891454,13,DarkYellow,LightRed,1,0,3,1,1299.26
891454,14,LightBlue,LightYellow,0,0,3,1,1181.33
891454,15,DarkCyan,LightYellow,1,0,7,1,999.02
891454,16,DarkCyan,DarkYellow,1,1,7,1,1035.29
891454,17,LightCyan,DarkGreen,0,1,7,0,9636.86
891454,18,LightCyan,LightRed,0,0,3,0,1437.12
891454,19,DarkCyan,DarkGreen,1,1,7,1,4695.96
891454,20,DarkBlue,DarkCyan,1,1,1.5,0,3330.30
891454,21,LightRed,DarkMagenta,0,1,3,0,1542.15
891454,22,LightYellow,DarkCyan,0,1,3,0,1084.04
891454,23,DarkYellow,LightCyan,1,0,3,1,6848.69
891454,24,LightGreen,LightBlue,0,0,3,0,2436.25
891454,25,LightCyan,DarkRed,0,1,1.5,0,1168.50
891454,26,DarkYellow,DarkGreen,1,1,3,1,4300.36
891454,27,DarkYellow,DarkCyan,1,1,1.5,0,2732.66
891454,28,LightRed,DarkCyan,0,1,3,0,1301.85
891454,29,LightMagenta,DarkGreen,0,1,1.5,0,1368.77
891454,30,LightRed,DarkRed,0,1,3,0,1165.92
891454,31,DarkGreen,LightRed,1,0,7,1,8301.13
891454,32,LightMagenta,DarkGreen,0,1,7,1,1365.28
891454,33,DarkMagenta,LightCyan,1,0,7,1,1063.93
891454,34,LightGreen,DarkRed,0,1,3,0,6329.99
891454,35,LightMagenta,LightCyan,0,0,1.5,0,1359.40
891454,36,LightRed,LightMagenta,0,0,3,0,1003.74
891454,37,DarkRed,LightBlue,1,0,7,1,6101.65
891454,38,DarkBlue,LightYellow,1,0,3,1,2033.26
891454,39,LightYellow,LightCyan,0,0,7,0,5399.43
891454,40,DarkMagenta,LightCyan,1,0,3,1,2933.27
891454,41,LightGreen,LightRed,0,0,3,0,3297.72
891454,42,DarkBlue,DarkGreen,1,1,7,1,3436.11
891454,43,DarkYellow,LightYellow,1,0,3,0,3329.13
891454,44,LightMagenta,LightGreen,0,0,1.5,0,1863.96
891454,45,DarkBlue,DarkYellow,1,1,1.5,0,1242.99
891454,46,DarkCyan,LightCyan,1,0,3,1,7436.01
891454,47,DarkMagenta,LightMagenta,1,0,7,1,1665.49
891454,48,LightMagenta,DarkYellow,0,1,3,1,2058.99
891454,49,DarkGreen,LightRed,1,0,1.5,0,8231.15
891454,50,DarkBlue,LightBlue,1,0,7,1,3361.28
891454,51,LightYellow,DarkMagenta,0,1,3,0,2640.62
891454,52,DarkCyan,LightRed,1,0,7,1,2733.09
891454,53,DarkYellow,DarkBlue,1,1,7,0,2628.03
891454,54,LightYellow,DarkMagenta,0,1,7,0,934.07
891454,55,LightYellow,DarkRed,0,1,3,0,1034.05
891454,56,DarkCyan,LightMagenta,1,0,7,1,5532.92
891454,57,DarkYellow,DarkMagenta,1,1,7,0,2565.91
891454,58,LightYellow,DarkGreen,0,1,1.5,0,4432.90
891454,59,DarkMagenta,DarkGreen,1,1,7,1,7563.42
891454,60,LightGreen,LightCyan,0,0,7,0,3171.15
891454,61,LightYellow,LightMagenta,0,0,7,0,1100.85
891454,62,DarkCyan,DarkGreen,1,1,1.5,1,4968.41
891454,63,LightGreen,LightYellow,0,0,3,0,2834.60
891454,64,LightBlue,DarkCyan,0,1,7,0,1034.85
891454,65,LightBlue,LightYellow,0,0,1.5,0,1032.91
891454,66,DarkRed,LightGreen,1,0,1.5,1,6165.83
891454,67,DarkBlue,DarkGreen,1,1,1.5,1,1000.43
891454,68,LightYellow,LightMagenta,0,0,1.5,0,4500.19
891454,69,LightMagenta,DarkYellow,0,1,1.5,0,900.79
891454,70,LightMagenta,DarkCyan,0,1,3,0,1002.40
891454,71,DarkCyan,DarkMagenta,1,1,3,0,834.86
891454,72,DarkGreen,LightCyan,1,0,3,0,1500.05
891454,73,DarkRed,DarkMagenta,1,1,1.5,1,8738.40
891454,74,LightGreen,DarkCyan,0,1,7,0,2503.16
891454,75,DarkRed,DarkMagenta,1,1,3,1,2539.94
891454,76,DarkGreen,LightBlue,1,0,3,1,1133.88
891454,77,LightGreen,DarkCyan,0,1,3,0,4364.83
891454,78,LightRed,DarkBlue,0,1,3,1,2670.68
891454,79,DarkMagenta,LightBlue,1,0,1.5,1,1134.24
891454,80,LightBlue,DarkYellow,0,1,3,0,4332.96
891454,81,LightYellow,DarkYellow,0,1,1.5,0,972.18
891454,82,LightBlue,DarkYellow,0,1,1.5,0,1070.34
891454,83,DarkRed,LightMagenta,1,0,3,1,5533.98
891454,84,LightBlue,DarkRed,0,1,1.5,0,2973.03
891454,85,LightMagenta,DarkRed,0,1,7,0,1229.87
891454,86,LightBlue,LightGreen,0,0,7,1,5008.89
891454,87,LightYellow,LightCyan,0,0,3,0,2766.37
891454,88,LightYellow,LightRed,0,0,1.5,1,2827.01
891454,89,DarkCyan,LightGreen,1,0,1.5,1,926.39
891454,90,LightBlue,LightCyan,0,0,3,1,893.57
891454,91,DarkRed,LightYellow,1,0,1.5,1,868.54
