Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
414532,1,DarkCyan,LightRed,1,0,7,1,1165.79
414532,2,LightRed,LightBlue,0,0,3,0,2968.09
414532,3,LightRed,DarkBlue,0,1,7,0,1101.42
414532,4,DarkMagenta,DarkRed,1,1,1.5,1,4531.49
414532,5,LightBlue,DarkRed,0,1,1.5,0,2926.76
414532,6,LightYellow,DarkYellow,0,1,1.5,1,3062.68
414532,7,LightRed,DarkRed,0,1,3,0,2834.04
414532,8,DarkMagenta,LightGreen,1,0,1.5,1,2696.31
414532,9,LightCyan,DarkRed,0,1,3,0,2674.71
414532,10,DarkMagenta,DarkGreen,1,1,7,0,1299.39
414532,11,DarkCyan,DarkYellow,1,1,3,1,4473.60
414532,12,LightRed,DarkRed,0,1,1.5,0,2799.73
414532,13,DarkYellow,DarkMagenta,1,1,7,0,1095.45
414532,14,DarkRed,DarkYellow,1,1,3,1,4535.75
414532,15,LightCyan,LightGreen,0,0,1.5,1,1191.74
414532,16,LightYellow,LightMagenta,0,0,1.5,1,1100.49
414532,17,LightBlue,LightGreen,0,0,1.5,1,1637.19
414532,18,DarkMagenta,DarkGreen,1,1,1.5,0,8670.91
414532,19,DarkYellow,LightGreen,1,0,1.5,1,2999.64
414532,20,LightYellow,DarkGreen,0,1,3,1,1043.93
414532,21,LightYellow,DarkRed,0,1,3,1,1164.60
414532,22,DarkYellow,DarkBlue,1,1,7,1,1174.25
414532,23,DarkBlue,LightGreen,1,0,7,0,7570.53
414532,24,DarkGreen,DarkCyan,1,1,3,1,2833.83
414532,25,DarkYellow,DarkGreen,1,1,1.5,1,1267.93
414532,26,LightYellow,LightCyan,0,0,7,0,4802.89
414532,27,DarkYellow,LightMagenta,1,0,3,1,3587.60
414532,28,DarkMagenta,LightYellow,1,0,3,0,3598.15
414532,29,DarkMagenta,LightBlue,1,0,3,1,2930.12
414532,30,DarkGreen,LightBlue,1,0,7,0,2693.16
414532,31,LightYellow,LightBlue,0,0,3,1,2428.49
414532,32,LightYellow,LightCyan,0,0,1.5,0,2432.80
414532,33,DarkYellow,DarkBlue,1,1,3,0,1297.11
414532,34,LightMagenta,DarkCyan,0,1,7,1,4665.21
414532,35,DarkCyan,DarkGreen,1,1,7,1,1466.36
414532,36,LightYellow,DarkRed,0,1,7,0,5136.08
414532,37,DarkRed,DarkMagenta,1,1,3,0,1134.09
414532,38,DarkBlue,LightYellow,1,0,3,1,5098.20
414532,39,LightRed,LightBlue,0,0,7,1,1171.06
